name,class,gal_l2,gal_b2,hard_hm,hard_hs
2CXO J181341.2-175115,YSO,0.35579766041157834,4.992890413440701,7.581250000000018,9.000000000000009
2CXO J064110.1+093031,STAR,5.647297128182896,5.111050118610426,0.0,0.0
2CXO J184450.5-024722,STAR,0.8249324301629091,5.006586575555565,0.0,0.0
2CXO J111304.3-604725,STAR,8.089304390706356,4.985908758434334,6.3250000000000135,3.987500000000024
2CXO J103850.2+532925,HMXB,4.350336590016648,8.016870093664332,5.443750000000001,4.493749999999986
2CXO J214301.7+660708,STAR,2.928103449998088,5.548056370552793,3.1625000000000068,0.0
2CXO J121855.7+471759,ULX,3.8427025325943056,8.841757998529289,3.4187499999999713,3.450000000000016
2CXO J064058.9+092852,STAR,5.647384294997747,5.108055458830983,3.3062499999999857,0.7499999999999929
2CXO J171240.6-382542,YSO,9.675360142556688,5.0207872013922525,7.724999999999998,2.7687499999999785
2CXO J064106.4+092838,STAR,5.647872212493873,5.109489353664655,3.400000000000016,1.2812499999999811
2CXO J205133.3+442637,STAR,2.3542778356056537,4.999920112611051,3.9624999999999977,2.062500000000017
2CXO J033132.8-280116,AGN,6.219043155706697,1.9416281284502064,0.0,0.0
2CXO J180953.5-233733,STAR,0.2033407345681377,4.881326445736882,7.4250000000000025,10.0
2CXO J124341.5+113116,STAR,8.21973005687443,9.145842808322163,5.6062500000000135,4.312499999999996
2CXO J144738.2+082546,AGN,0.11530794602350825,8.167157769269242,5.062500000000002,2.549999999999974
2CXO J122307.5+103448,AGN,7.767876622056925,9.02696707751317,5.19375,3.737499999999975
2CXO J191142.6-595826,STAR,9.347934891489317,3.55833016809815,8.131250000000014,4.04374999999999
2CXO J215242.7+471208,STAR,2.6180956729848663,4.690080952740352,0.0,0.0
2CXO J165417.4-415635,YSO,9.538547132196793,5.05673641468862,3.9624999999999977,4.64375
2CXO J174545.0-290341,YSO,9.997450745666267,4.990736694126887,10.0,8.818750000000017
2CXO J174804.6-244605,PULSAR,0.10689704283608396,5.090333251639633,8.181250000000013,10.0
2CXO J203831.3+421517,YSO,2.265737407309148,5.027452100108172,4.98125,4.05000000000001
2CXO J010314.6-705053,STAR,8.375902489034234,2.4120992634885523,6.175000000000013,4.95625
2CXO J120405.8+201345,AGN,6.747593276464126,9.30649891730242,5.137500000000001,3.312500000000004
2CXO J064104.0+093521,STAR,5.6449845964738135,5.111852400283639,2.8437500000000027,0.9312499999999836
2CXO J054553.1-001325,STAR,5.708282926303197,4.177434471810561,3.493749999999996,3.243749999999998
2CXO J174538.5-284811,YSO,0.003218838805359303,4.99939520218688,0.0,0.0
2CXO J174546.4-290147,YSO,9.998273274842347,4.9914170777003175,8.756250000000032,10.0
2CXO J194316.7+232208,STAR,1.6521179197115747,4.988186554594902,4.706249999999996,1.4124999999999734
2CXO J232619.4+002111,AGN,2.2998402152839206,1.8818378367567679,5.912499999999977,4.418750000000012
2CXO J172036.1-355452,YSO,9.7576834769508,5.03030106316707,0.0,0.0
2CXO J163533.1-472130,YSO,9.364216613612687,5.000412900483721,2.9437500000000014,1.3374999999999997
