name,Jmag,Hmag,Kmag
2CXO J123733.7+131905,16.36,15.751,14.923
2CXO J164806.5-451206,12.954,10.825,9.798
2CXO J165452.7-414704,15.055,14.258,13.858
2CXO J171556.4-385154,15.058,13.569,12.579
2CXO J173303.4-293902,6.274,6.17,6.063
2CXO J173906.8-283353,13.787,12.638,12.052
2CXO J173946.9-271809,12.99,11.815,11.365
2CXO J174124.1-265754,8.493,8.204,8.116
2CXO J174307.8-281301,6.534,4.9060000000000015,4.021
2CXO J174409.5-310803,8.996,8.824,8.67
2CXO J174445.7-271344,7.0539999999999985,6.843,6.5070000000000014
2CXO J174546.7-295617,15.055,14.963,14.431
2CXO J174609.4-314448,12.31,11.457,10.87
2CXO J174623.1-254930,13.21,12.093,11.729
2CXO J174817.0-280749,15.649,12.744000000000002,10.523
2CXO J174925.3-312356,13.177,12.103,11.537
2CXO J175041.0-291643,7.88,7.79,7.72
2CXO J175114.2-304922,11.178,10.345999999999998,9.782
2CXO J175327.3-295842,12.969,13.18,11.8
2CXO J175459.3-291021,12.889,13.336,12.012
2CXO J175707.5-270852,9.393,9.238,9.195
2CXO J180326.4-251559,6.513,5.981,5.818
2CXO J180343.6-213743,14.265,12.733,12.068
2CXO J180421.5-214234,13.428,12.358,11.852
2CXO J180843.2-190853,14.109000000000002,13.375,12.063
2CXO J180909.0-200016,13.769,13.054,12.79
2CXO J180912.3-202801,9.193,8.919,8.801
2CXO J180916.0-203148,13.035,12.353,11.963
2CXO J180928.4-241402,16.258,13.48,11.988
2CXO J181022.9-204639,13.653,12.886,12.584
2CXO J181153.8-190325,7.877999999999999,7.771,7.712999999999999
2CXO J181226.9-183952,7.67,7.29,7.034
2CXO J181228.6-183850,8.666,8.423,8.344
2CXO J181301.8-175657,7.99,7.455,7.284
2CXO J181314.4-175830,14.85,12.936,12.514
2CXO J181332.8-175629,15.578,14.718,15.154000000000002
2CXO J181341.2-175115,11.513,10.341,9.727
2CXO J181343.0-175453,15.898,13.42,12.149
2CXO J181343.2-174709,14.373,13.351,12.515
2CXO J181347.4-175430,14.335,13.857,12.586
2CXO J181350.5-175700,14.524,14.517,13.709
2CXO J181353.1-175326,13.970999999999998,12.274,11.223
2CXO J181354.6-175158,14.175,13.638,13.479
