name,g_mag,bp_mag,rp_mag
2CXO J180432.3-242755,19.489783,20.974777,18.005926000000002
2CXO J180433.0-242352,17.934185999999997,19.541594,16.799196
2CXO J180440.1-242333,20.424382,21.930826,19.235643
2CXO J180441.5-242340,17.849434,19.952742,16.485014000000003
2CXO J180444.1-241438,15.571147,16.396883,14.682442000000002
2CXO J180444.8-241312,16.115545,16.871666,14.973589000000002
2CXO J180447.8-242330,15.041922,15.828497,14.065184
2CXO J180454.4-241406,16.987023999999998,18.260745999999997,15.883906
2CXO J180720.2-245951,14.68793,15.111068,13.103635
2CXO J180727.2-250616,8.292736999999999,8.573796000000002,7.810411
2CXO J180935.6-255553,9.255761999999999,9.871648,8.502666
2CXO J010202.4-724239,20.017318,19.901155,20.005394
2CXO J010354.9-724953,20.696804,20.05815,20.29505
2CXO J010423.6-731156,9.825011,10.029714,9.471774
2CXO J011838.2-732525,10.129539999999999,10.440594,9.656644
2CXO J095743.3+024823,20.270823,20.581329999999998,20.066072
2CXO J095755.0+024806,19.264715,19.494225,18.917285999999997
2CXO J095756.7+024840,20.829704,21.011526,20.927149
2CXO J095852.0+025156,18.8236,19.1396,18.410792999999998
2CXO J095908.6+025424,18.739601,18.878298,18.329123000000003
2CXO J100135.4+025405,20.564922,20.710522,20.190037
2CXO J100136.5+025303,19.268248,19.558966,18.912436
2CXO J100327.7+015742,18.238522,18.433062,17.888134
2CXO J122307.5+103448,18.86175,19.019852,18.477818
2CXO J122419.8+110722,18.566826000000002,18.773321,18.109861
2CXO J122453.3+123917,19.088196,19.039322,18.180967000000003
2CXO J122454.7+123609,19.610567,19.829439999999998,19.200893
2CXO J122546.7+095519,19.724528,19.121145000000002,17.885778
2CXO J122628.2+090111,18.756086,16.639282,15.116252
2CXO J122752.5+080526,18.804852,19.059925,18.483875
2CXO J122805.3+100225,18.758728,18.718325,18.392933
2CXO J122811.4+095126,18.973105,17.55879,16.230747
2CXO J122829.5+170505,17.234634,14.605285999999998,13.233039999999999
2CXO J122926.4+132019,19.233839,17.818673999999998,16.70509
2CXO J122926.6+122305,18.753304999999997,18.925844,18.492638
2CXO J122934.1+134630,18.570572,18.185072,17.007275
2CXO J122945.9+132609,18.634954,19.887532999999998,17.346384
2CXO J123039.6+104347,18.229784,18.447598,17.817825
2CXO J123048.0+103556,20.283388000000002,20.573809,19.804270000000002
2CXO J123052.6+143304,19.340239,18.395966,17.135279
2CXO J123055.5+164226,19.179285,19.45724,18.752253
2CXO J123101.2+081221,19.264275,19.396406,18.82799
2CXO J123127.4+135449,18.432713,18.457352,18.068485
2CXO J123219.7+110952,18.992445,19.181648000000003,18.61176
2CXO J123227.9+141558,19.8765,19.817678,18.814184
2CXO J123243.0+114627,18.235723,18.392454,17.832770999999997
2CXO J123248.3+134945,19.045876,19.029375,18.637075
2CXO J123310.0+161125,18.56261,18.70899,18.248274
2CXO J123310.4+161053,17.33898,17.597387,16.894238
2CXO J123310.6+164905,18.308743,18.512075,17.89535
2CXO J123318.1+110032,19.378632999999997,19.711311,19.011663000000002
2CXO J123559.6+072207,17.520954,17.69377,17.16602
2CXO J123619.3+163302,9.61143,9.867837,9.195078
2CXO J123713.9+093303,10.595488000000001,10.935688,10.079426
2CXO J123733.7+131905,18.576877,18.446394,17.469133
2CXO J124057.3+110110,18.320356,18.333687,17.976767000000002
2CXO J124233.6+121224,18.94351,18.972176,18.313616
2CXO J124246.0+122405,18.875754999999998,19.114073,18.518917000000002
2CXO J124400.5+113230,21.050337,20.875769000000002,20.03228
2CXO J124406.9+113523,19.065027,19.26313,18.640482000000002
2CXO J124416.5+124601,18.76984,18.939404,18.43756
2CXO J124431.1+111404,18.210396,18.381968,17.834068
2CXO J124445.7+111655,18.942226,19.042510999999998,18.69409
2CXO J143040.5+364903,19.884485,19.760307,18.972292000000003
2CXO J143118.1+364704,18.858513000000002,19.091724,18.43184
2CXO J173303.4-293902,7.092353,7.2976,6.704446000000001
2CXO J173808.8-292217,20.483666,21.421523999999998,19.351656
2CXO J173906.8-283353,20.756588,22.195439999999998,18.798462
2CXO J173946.9-271809,18.423813,18.845352,16.585651000000002
2CXO J174124.1-265754,9.851922,10.265278,9.250552
2CXO J174307.8-281301,13.072291,18.680891,11.265139999999999
2CXO J174314.5-274836,19.950315,21.446693,18.326094
2CXO J174409.5-310803,10.087907000000001,10.367919,9.604419
2CXO J174445.7-271344,8.234564,8.511403,7.735419
2CXO J174546.7-295617,18.346714000000002,19.939137,17.148493
2CXO J174609.4-314448,14.899242000000001,15.812420000000001,13.948629
2CXO J174623.1-254930,17.531748999999998,18.846107,15.674878
2CXO J174817.0-280749,18.956409,20.516039000000003,17.79725
2CXO J174925.3-312356,16.565588,17.78286,15.393289999999999
2CXO J175041.0-291643,8.296515,8.376363000000001,8.119863
2CXO J175236.0-291939,17.532457,17.870345999999998,16.9585
2CXO J175327.3-295842,17.528135,18.113692999999998,15.995285
2CXO J175352.6-301311,17.315182999999998,17.734820000000003,15.842654999999999
2CXO J175459.3-291021,16.354933,17.188385,15.417957000000001
2CXO J175551.6-283213,17.551629000000002,19.247488,16.172833999999998
2CXO J175707.5-270852,10.109353,10.29901,9.775328
2CXO J175832.3-275243,19.617982,19.578554,18.461057999999998
2CXO J180326.4-251559,8.448138,9.095601,7.649164
2CXO J180343.6-213743,19.500034,21.037132,17.972923
2CXO J180909.0-200016,17.037129999999998,18.866226,15.731777
2CXO J180911.7-201513,19.870525,18.958455999999998,17.837608
2CXO J180912.3-202801,10.318697,10.673896000000001,9.793427000000001
2CXO J180916.0-203148,15.058716,15.435428,14.086467
2CXO J181022.9-204639,16.001215,16.733381,15.135678
2CXO J181044.4-260901,18.907703,19.455685,17.705479999999998
2CXO J181153.8-190325,8.747494999999999,8.977608,8.333761
2CXO J181226.9-183952,10.270947,11.442328,9.210494
2CXO J181228.6-183850,9.787248,10.131905,9.270374
2CXO J181301.8-175657,9.717591,10.294295,8.98114
2CXO J181314.4-175830,19.279873000000002,20.814648000000002,18.103148
2CXO J181332.8-175629,18.594479,19.731138,17.288258
2CXO J181341.2-175115,16.960697,20.382305,15.343842
2CXO J181343.0-175453,19.269143,20.10975,18.018656
2CXO J181343.2-174709,17.411402,18.326898999999997,16.36176
2CXO J181347.4-175430,15.851369,16.345253,15.183531
2CXO J181350.5-175700,19.360393,20.511147,18.367168
2CXO J181353.1-175326,20.588182999999997,19.697338000000002,18.559786
2CXO J181354.6-175158,15.732834,16.304989000000003,15.014667999999999
2CXO J181634.8-162345,15.51927,16.216393,14.697266
2CXO J181649.6-163104,8.042059,8.180039,7.744745
2CXO J181700.0-162806,20.210809,21.859360000000002,18.657312
2CXO J181756.5-165202,17.482307000000002,18.698597,16.249063
2CXO J181758.5-165027,17.257746,18.43905,16.199034
2CXO J181759.0-165330,18.487556,20.046143,17.322819
2CXO J181802.7-165313,15.428847,15.924392000000001,14.612589999999999
2CXO J181804.2-165258,19.113560999999997,20.71825,17.78214
2CXO J181805.4-165339,18.584769,20.457972,17.10153
2CXO J181805.9-165140,20.493401000000002,21.027607,19.636023
2CXO J181806.1-165350,15.50784,17.030428,14.317473999999999
2CXO J181806.3-165106,19.767315,21.411215,18.38645
2CXO J181806.5-165449,18.512363,20.547352,17.194229999999997
2CXO J181808.0-165420,20.111591,21.71376,18.264120000000002
2CXO J181808.9-165252,19.990323999999998,21.41475,18.438122
2CXO J181809.0-165203,19.210551000000002,20.45655,18.104589999999998
2CXO J181810.7-164910,19.669753,21.107751999999998,18.532042999999998
2CXO J181811.0-165351,20.112535,21.145163,18.649964999999998
2CXO J181813.6-164640,17.556414,18.471510000000002,16.448814000000002
2CXO J181814.5-164911,18.214121,19.392046,17.088184
2CXO J181818.5-164634,19.607995000000003,20.753513,18.111675
2CXO J181818.7-165317,18.562185999999997,20.291872,17.32339
2CXO J181826.3-164558,19.631776000000002,20.734493,18.054428
2CXO J181841.5-170333,9.791895,9.861997,9.630633999999999
2CXO J181934.5-153519,10.035178,10.336068,9.568899
2CXO J182047.6-160136,9.462128,9.752904,8.985509
2CXO J182051.0-155658,10.084127,10.497064,9.455527
2CXO J182103.5-140942,9.71685,10.069106,9.177228999999999
2CXO J182104.3-155701,18.711909,20.166424,17.095448
2CXO J182107.2-134500,14.238798000000001,14.878903,13.45982
2CXO J182108.2-155650,20.351029,20.841558,18.999956
2CXO J182201.6-144105,20.414984,21.851912,18.786741
2CXO J182207.2-131336,10.456928999999999,10.956124,9.794317
2CXO J182307.2-143250,12.01383,12.669435,11.200880999999999
2CXO J182559.3-133756,15.057035999999998,15.734423999999999,14.245385999999998
2CXO J182627.7-133153,18.057454,18.790512,17.059504999999998
2CXO J182632.4-134306,19.915697,21.169698999999998,18.672323000000002
2CXO J182836.7-125950,8.141202999999999,8.467508,7.611866
2CXO J182853.5-125737,7.402162,8.469028999999999,6.393308
2CXO J203030.4+411745,19.726522,21.410244,17.55329
2CXO J203032.3+411617,19.346847,21.533207,17.900747
2CXO J203035.5+411653,20.208084,21.67644,18.300932
2CXO J203036.9+412841,18.213503,19.4423,16.798658
2CXO J203041.2+411735,20.618382999999998,21.623703,19.159457999999997
2CXO J203042.9+411356,17.523744,19.358520000000002,16.230326
2CXO J203057.7+410956,12.277207,13.554473999999999,11.045995
2CXO J203101.1+410737,20.005646,21.337038,18.547207
2CXO J203456.5+414304,7.570257000000001,7.5138940000000005,7.64002
2CXO J000201.9+004541,18.843481,19.078684,18.532919
2CXO J000230.7+004959,17.834246,18.13322,17.337488
2CXO J002127.3-020333,16.931279999999997,17.119426999999998,16.61242
2CXO J002227.4+012412,17.31588,17.509188,16.91822
2CXO J002235.5+012203,20.189372,19.896380999999998,18.641083
2CXO J002305.0-010743,19.430426999999998,19.046125,17.98735
2CXO J002332.4-011445,16.616688,16.701475,16.329842000000003
2CXO J002342.3+002041,18.756453,18.967825,18.418793
2CXO J003315.3-433301,20.633298,20.697771,19.847795
2CXO J003326.1-432613,20.438052,20.539082999999998,20.174025
2CXO J003346.2-431943,21.234455,20.553812,19.036512
2CXO J003350.9-432740,20.731029,20.599518,20.337915
2CXO J003400.2-434403,20.890392000000002,21.025152,20.08843
2CXO J003413.6-432600,21.122711,21.172419,20.794346
2CXO J003444.5-433749,20.148582,20.343782,19.637299
2CXO J003453.3-431802,21.097502,21.402403,20.69324
2CXO J003504.4-431610,20.476501000000003,20.465569,19.965526999999998
2CXO J003626.5-430820,19.857225,20.05704,19.433943
2CXO J004111.8-210752,20.741291,17.109568,16.651405
2CXO J004258.3-203714,16.192069,16.269094,15.922305
2CXO J004311.6-093816,19.134167,17.686916,16.36836
2CXO J004314.0-092145,20.576979,18.018375,16.561129
2CXO J004400.6-084917,20.119746,19.664513,18.567923
2CXO J004418.8-090007,18.920876999999997,19.122387,18.61945
2CXO J004651.8-204328,18.609709,18.646342999999998,18.11215
2CXO J005355.1-000309,18.173664000000002,18.490606,17.630674
2CXO J005440.5-000343,20.95332,20.764273,20.656984
2CXO J005441.3+000111,17.770113000000002,17.958557,17.360407000000002
2CXO J005622.5-272223,20.732104999999997,20.825654999999998,20.23036
2CXO J005743.8-261321,9.932081,10.097928,9.638392
2CXO J005802.6-272259,20.799426999999998,20.82931,20.511738
2CXO J005805.7-275004,20.615001,20.245476,19.405251999999997
2CXO J005832.5-005454,20.716722,20.237694,20.409727
2CXO J005843.8-273458,20.452579999999998,20.520283,20.004343
2CXO J005905.3-004701,20.229592999999998,20.492325,19.758728
2CXO J005916.9-010120,20.427703,20.3888,20.07726
2CXO J005922.6+000301,19.620448,20.471888,18.740902
2CXO J005923.8-000120,20.133194,20.279943,19.712404
2CXO J005926.8-004938,20.749717999999998,20.454002,20.332722
2CXO J010032.2-020046,19.070809,18.417723000000002,17.456385
2CXO J010113.3-002948,19.621038000000002,19.888289999999998,19.170624
2CXO J010250.0-222157,18.409827,18.014473000000002,17.188576
2CXO J010409.1+000845,20.18277,18.796570000000003,17.305923
2CXO J010450.5-000256,19.689638000000002,19.986586,19.16421
2CXO J010514.4+000226,20.19226,19.796125,18.621021
2CXO J010616.4+005656,20.062334,20.344557000000002,19.600967
2CXO J010619.2+004823,19.05931,20.211214000000002,18.125256
2CXO J010626.1+003916,20.158136,18.947342000000003,17.705507
2CXO J010653.4+004829,20.288546,20.45115,19.998413
2CXO J011948.2+032318,18.021378,18.287107000000002,17.570604
2CXO J011948.9+032329,19.969133,20.312887,19.404312
2CXO J012033.1-004301,19.386354,19.677970000000002,18.930335999999997
2CXO J012126.1+034706,19.146725,19.733381,18.442663
2CXO J012135.8+034749,19.538012,19.742456,19.083014000000002
2CXO J012657.2+330730,19.255636,19.506443,18.792675
2CXO J014717.1+001035,20.681917000000002,21.075834,19.583008
2CXO J014921.5-003219,18.853445,19.073395,18.450867000000002
2CXO J015042.7+004420,20.137672,20.259142,19.509985
2CXO J015048.8+004126,18.327065,18.816387,17.689732
2CXO J015237.1+005637,16.543910999999998,17.937017,15.375707
2CXO J015254.0+010434,20.172964999999998,19.971092000000002,19.352299
2CXO J015309.1+005249,19.050957,19.266289,18.834486
2CXO J015313.2+005306,19.383786999999998,19.615128,19.062763
2CXO J015650.2+005308,18.292246,18.577467000000002,17.696460000000002
2CXO J015650.8-004532,18.571953,18.732594,18.247593
2CXO J015652.4-001221,18.608805,18.40558,17.4418
2CXO J015653.1-004621,19.653707999999998,19.480629,19.165672
2CXO J015658.7+004641,20.32629,20.299260999999998,20.1416
2CXO J015716.9-005304,20.933609,20.848696,19.307394
2CXO J015741.5-010630,17.94181,18.352682,17.422142
2CXO J015827.2+003501,18.740779999999997,18.956057,18.297651000000002
2CXO J015910.3+003025,8.207253,8.375369000000001,7.8972880000000005
2CXO J015938.0+002640,18.377851,18.586592,18.062681
2CXO J015957.6+003311,20.841955,19.742887,18.55511
