name,fuv_mag,nuv_mag
2CXO J143113.8+325312,20.63,19.801
2CXO J143118.3+325131,19.039,18.809
2CXO J143121.4+324913,21.132,21.058000000000003
2CXO J143142.0+354218,,20.681
2CXO J143146.0+030144,19.046,19.105
2CXO J143220.1+331511,20.108,19.17
2CXO J143303.8+023158,,19.67
2CXO J143353.0+354928,20.051,19.484
2CXO J143407.4+022704,22.402,20.832
2CXO J143411.2+334015,,21.481
2CXO J143421.3+340446,,21.037
2CXO J143528.0+350928,,22.485
2CXO J143543.7+342906,,21.531
2CXO J143642.1+353928,21.135,19.461
2CXO J143728.7+344547,20.176,19.215
2CXO J143756.4+351937,18.942,18.439
2CXO J143830.2+353915,18.964,18.944000000000006
2CXO J143853.3+354920,,20.337
2CXO J144024.8+033608,,19.667
2CXO J144105.5+045455,21.017,19.394
2CXO J144654.6+091801,,20.702
2CXO J144738.2+082546,20.497,19.186
2CXO J145355.8+033429,21.35,21.473000000000006
2CXO J145356.7+033307,,15.035
2CXO J145453.5+032456,,21.221
2CXO J145528.6+031300,20.478,20.398
2CXO J145721.9+025342,,20.262
2CXO J145837.8+022524,,20.54
2CXO J145843.1+025157,21.965,20.39
2CXO J150031.9+022047,,21.903
2CXO J150034.5+005035,,19.985
2CXO J150354.5+011619,,21.476
2CXO J150440.4+010734,20.646,20.216
2CXO J150521.9+014149,19.524,18.815
2CXO J150545.6+014148,,20.679
2CXO J150624.5+554707,21.982,15.672
2CXO J150721.0+554559,21.964,20.988000000000003
2CXO J150827.1+561239,20.494,20.437
2CXO J150838.3+003248,20.902,20.546
2CXO J150842.1+332802,19.172,18.056
2CXO J150940.7+571811,20.938,19.773
2CXO J151141.2+051809,,20.914
2CXO J151153.0+565601,,22.077
2CXO J151323.0+071043,,20.927
2CXO J152157.4+285918,,21.894
2CXO J152304.2+541704,,19.813
2CXO J152346.8+541720,20.392,19.739
2CXO J152503.9+542645,21.381,20.138
2CXO J153044.1+231013,19.353,18.713
2CXO J153115.2+230454,20.525,19.929
2CXO J153244.3+240624,,20.297
2CXO J160153.5+433048,21.239,20.119
2CXO J160319.9+422147,20.549,20.374
2CXO J160354.2+422217,20.812,20.35
2CXO J161007.1+535813,,21.597
2CXO J161245.6+511816,,19.636
2CXO J161330.8+510400,,22.001
2CXO J161637.2+344552,,19.49
2CXO J161716.4+345058,,20.946
2CXO J161809.7+350208,21.564,21.525
2CXO J162841.5+403538,19.749,19.055
2CXO J162933.6+253200,21.024,18.729
2CXO J163446.4+461947,20.3,19.83
2CXO J163522.6+461051,19.92,19.576
2CXO J164634.7+350317,21.148000000000003,19.73
2CXO J164912.2+345252,21.54,20.429
2CXO J165046.3+345138,21.411,19.99
2CXO J165103.1+350947,21.432,20.638
2CXO J165150.6+345817,,20.364
2CXO J165240.9+350604,,20.843000000000004
2CXO J165249.2+350058,,21.57
2CXO J171046.6+584244,20.108,14.515
