name,W1mag,W2mag,W3mag,W4mag
2CXO J203042.9+411356,12.036,11.983,10.874,6.121
2CXO J203057.7+410956,7.966,7.917999999999998,6.755,3.986
2CXO J203101.1+410737,12.528,12.457,9.465,5.1
2CXO J203456.5+414304,7.8439999999999985,7.893,7.8370000000000015,6.05
2CXO J203800.7+423956,11.057,9.976,8.406,4.505
2CXO J000201.9+004541,14.732,13.872,11.078,8.318
2CXO J000230.7+004959,14.48,13.144,10.203,7.853
2CXO J000249.5+004234,15.908,15.408,12.521,9.062
2CXO J002127.3-020333,14.39,13.427,10.074,8.261000000000001
2CXO J002227.4+012412,14.269,13.058,9.542,7.397
2CXO J002235.5+012203,14.651,14.037,11.048,8.42
2CXO J002305.0-010743,14.274,13.643,10.353,8.446
2CXO J002332.4-011445,12.981,11.907,9.552,7.233
2CXO J002342.3+002041,15.479,14.232,11.615,8.318
2CXO J003310.0-432106,16.6,15.901,12.684,9.375
2CXO J003312.3-431841,16.372,15.484000000000002,12.042,8.741
2CXO J003313.9-433052,16.476,15.428,12.638,8.651
2CXO J003315.3-433301,16.421,15.578,12.062,9.21
2CXO J003325.4-432208,16.742,16.295,12.2,8.781
2CXO J003326.1-432613,17.456,16.407,12.197,8.908999999999997
2CXO J003331.6-433313,17.317,15.588,12.168,9.137
2CXO J003338.9-434412,17.018,16.327,12.647,9.135
2CXO J003346.2-431943,15.22,14.526,11.045,9.019
2CXO J003350.9-432740,17.180999999999994,16.082,12.071,9.078
2CXO J003353.5-432127,16.743,15.888,12.543,9.114
2CXO J003359.2-432640,16.413,15.727,12.582,9.01
2CXO J003411.3-431927,17.375999999999998,15.848,12.468,9.113
2CXO J003413.6-432600,17.239,16.12,12.56,8.937000000000003
2CXO J003416.0-433337,17.183,16.424,12.69,8.625
2CXO J003422.8-431019,17.336,16.833,12.647,8.927
2CXO J003425.2-433308,15.674,14.716,11.718,9.23
2CXO J003444.5-433749,16.386,15.239,12.3,9.081
2CXO J003453.3-431802,16.983,15.799,12.33,8.7
2CXO J003541.1-431245,16.715999999999998,15.451,12.388,9.158
2CXO J003614.2-431940,16.097,15.514,12.800999999999998,8.898
2CXO J003621.8-431901,16.131,15.503,11.965,9.154
2CXO J003624.2-431732,17.277,16.319000000000006,12.81,8.927999999999997
2CXO J003626.5-430820,16.309,15.337,12.847,9.294
2CXO J003649.0-431918,16.476,15.411,12.707,8.946
2CXO J004111.8-210752,13.204,13.121,9.866,6.335
2CXO J004258.3-203714,12.289,11.139,8.802999999999997,6.598
2CXO J004311.6-093816,12.23,11.845999999999998,9.059,6.966
2CXO J004314.0-092145,13.333,13.133,10.468,7.681
2CXO J004400.6-084917,14.907,14.15,12.509,8.531
2CXO J004418.8-090007,14.636,13.481,11.109000000000002,8.256
2CXO J004651.8-204328,14.165,13.2,10.917,8.441
2CXO J005355.1-000309,14.665,13.246,9.876,7.6179999999999986
2CXO J005428.8+000909,15.522,15.033,12.049,9.05
2CXO J005440.5-000343,16.577,16.132,11.829,8.536
2CXO J005441.3+000111,13.122,11.849,8.891,6.443
2CXO J005601.5-012406,16.410999999999998,15.166,11.537,8.515
2CXO J005622.5-272223,15.969,14.822,11.674,8.745
2CXO J005633.0+002942,16.941,16.116,12.557,8.882
2CXO J005734.9-012327,11.387,11.409,10.13,7.869
2CXO J005743.8-261321,9.103,9.114,9.088,9.001
2CXO J005805.7-275004,15.647,15.101,11.716,8.834
2CXO J005843.8-273458,16.482,15.566,12.491,8.535
2CXO J005905.3-004701,16.857,15.305,12.008,8.326
2CXO J005916.9-010120,16.525,15.576,12.468,8.626
2CXO J005922.6+000301,14.805,14.336,11.745,8.166
2CXO J005923.8-000120,16.17,14.919,11.772,8.405
2CXO J005939.4-005753,16.159000000000002,15.901,12.531,8.8
2CXO J010032.2-020046,12.869000000000002,11.731,8.401,6.193
2CXO J010035.5-003417,16.294,15.422,12.367,9.028
2CXO J010113.3-002948,15.817,14.584,11.668,8.225
2CXO J010250.0-222157,12.915,11.249,6.081,3.095
2CXO J010409.1+000845,13.405,12.944,10.235,7.782999999999999
2CXO J010450.5-000256,15.989,14.518,12.143,8.468
2CXO J010514.4+000226,14.909,14.149,11.875,8.567
2CXO J010616.4+005656,16.489,15.261,12.035,8.385
2CXO J010619.2+004823,14.723,14.218,11.192,8.46
2CXO J010626.1+003916,14.393,14.112,11.003,8.507
2CXO J010653.4+004829,16.314,14.904000000000002,11.648,8.6
2CXO J011948.2+032318,14.754,13.501,10.439,7.973
2CXO J011948.9+032329,15.895,14.906,11.693,9.122
2CXO J012033.1-004301,15.827,14.603,12.206,9.214
2CXO J012126.1+034706,14.957,14.605,12.504,8.602
2CXO J012135.8+034749,16.253,14.895,11.588,9.071
2CXO J012657.2+330730,15.211,14.537,12.717,9.0
2CXO J014717.1+001035,15.153,13.87,10.777,8.35
2CXO J014839.8+001220,16.533,15.025,12.195,8.908
2CXO J014921.5-003219,15.338,13.998,11.155,8.565
2CXO J014948.2-005743,16.625999999999998,15.96,11.937,9.057
2CXO J015042.7+004420,16.180999999999994,14.913,12.103,9.38
2CXO J015048.8+004126,14.992,14.485,10.97,8.687000000000001
2CXO J015237.1+005637,12.798,12.636,12.52,9.346
2CXO J015254.0+010434,15.061,14.423,12.167,9.381
2CXO J015309.1+005249,15.321,13.993,11.376,9.13
2CXO J015313.2+005306,16.035,14.694,12.345,9.205
2CXO J015633.5+005749,15.257,14.605,12.886,9.162
2CXO J015650.2+005308,14.932,14.005,11.295,7.916
2CXO J015650.8-004532,15.81,14.425999999999998,11.377,8.796
2CXO J015652.4-001221,13.604,12.657,9.482,7.037000000000001
2CXO J015653.1-004621,14.958,14.17,11.777,8.866
2CXO J015658.7+004641,16.897000000000002,15.511,12.826,8.847999999999997
2CXO J015741.5-010630,14.711,14.159,10.741,8.176
2CXO J015827.2+003501,15.474,13.991,10.931,8.459
2CXO J015910.3+003025,7.372999999999998,7.393,7.391,7.249
2CXO J015938.0+002640,15.22,13.973,10.831,8.074
2CXO J015957.6+003311,15.127,14.565,11.384,8.775
2CXO J020036.5+004549,14.957,14.42,11.345999999999998,8.782
2CXO J020056.7+004149,11.773,11.571,11.321,8.673
2CXO J020129.3+004623,15.821,14.589,12.158,9.047
2CXO J021429.2-051744,15.724,15.651,12.435,8.975
2CXO J021808.5-051224,17.25,16.529,13.018,9.435
2CXO J021817.1-050258,16.224,15.332,12.27,8.849
2CXO J021820.4-050426,14.970999999999998,13.97,11.602,8.668
2CXO J021822.1-050614,12.366,12.359000000000002,10.603,8.596
2CXO J021827.1-045454,16.127,15.001,11.441,9.167
2CXO J021834.4-051357,16.346,15.974,12.439,9.45
2CXO J021842.9-050437,16.097,15.446,12.992,9.392
2CXO J021905.5-051041,17.666,16.186,13.028,9.055
2CXO J022353.6+421221,12.239,12.135,9.088,6.811
2CXO J022506.3-000335,15.325,13.903,11.076,8.99
2CXO J022540.5-043822,16.901,15.576,12.611,9.1
2CXO J022545.0-043734,17.034000000000002,16.959,12.382,9.227
2CXO J022557.5-045003,16.764,15.589,12.325,9.092
2CXO J022617.3+004117,15.047,14.155,10.914,8.186
2CXO J022629.5-044913,16.991,15.711,12.543,9.05
2CXO J022633.2+614116,10.156,9.451,4.751,2.463
2CXO J022639.6+004330,16.582,15.505999999999998,12.43,9.376
2CXO J022655.2+002210,16.203,14.911,11.581,8.801
2CXO J022656.5+002347,15.737,14.645,11.85,9.175
2CXO J022659.9-044430,16.141,14.834,11.956,9.466
2CXO J022700.9-044517,17.04,16.345,13.104,9.083
2CXO J022712.9+615139,9.405,8.774,5.12,0.348
2CXO J022713.6+613726,9.521,9.342,6.2860000000000005,2.46
2CXO J022735.8+003524,16.708,15.612,12.372,9.309
2CXO J022742.8+004002,16.496,15.185,12.063,8.846
2CXO J022756.2+005733,14.659,13.841,10.848,8.435
2CXO J022804.3+010657,14.804,13.661,11.023,8.657
2CXO J022936.9+003748,16.192999999999998,15.752,12.079,8.865
2CXO J022943.5+002217,15.581,14.885,12.137,8.802999999999997
2CXO J023009.4+002434,17.158,16.063,12.909,9.337
2CXO J023037.6+003947,16.334,15.140999999999998,12.345999999999998,9.171
2CXO J023043.9+002732,16.566,15.579,12.962,8.951
2CXO J023052.1+002041,18.136,16.04,12.44,9.336
2CXO J023057.8+004038,16.912,15.738,12.503,9.26
2CXO J023101.4+002403,16.371,15.437,12.816,9.194
2CXO J023105.3+002131,16.875999999999998,15.54,12.457,9.208
2CXO J023115.3+005141,16.098,14.769,11.799,8.852
2CXO J023137.6-072854,16.119,14.979,12.615,9.266
2CXO J023146.5+002740,16.233,15.032,12.05,9.006
2CXO J023209.1+612630,10.985,10.959,9.333,6.391
2CXO J023210.7+613307,8.576,8.586,8.64,7.447
2CXO J023224.7+003834,15.116,14.421,12.747,8.907
2CXO J023229.9+612707,10.997,11.004,10.525,7.365
2CXO J023230.5-072647,16.363,15.664,11.869000000000002,8.786
2CXO J023234.3-073105,13.835,12.720999999999998,9.933,7.431
2CXO J023236.3+612825,8.331,8.354,8.149,5.817
2CXO J023237.3+613219,11.09,11.087,8.839,6.067
2CXO J023240.7+612800,9.894,9.938,8.95,6.553
2CXO J023243.5+612631,10.482,10.409,9.25,8.311
2CXO J023243.9+612720,9.23,9.234,9.754,7.057
2CXO J023247.5+612700,9.845,9.851,7.86,5.379
2CXO J023249.3+612641,11.5,11.501,9.467,7.434
2CXO J023249.4+612242,5.983,5.8039999999999985,5.564,4.334
2CXO J023257.8+612726,10.351,10.386,10.733,6.034
2CXO J023304.7+612821,10.009,10.047,9.584,4.574
2CXO J023305.2+612707,10.849,10.839,9.88,5.847
2CXO J023320.6+613118,7.224,7.246,5.972,1.544
2CXO J023330.1+612854,11.844,11.844,8.464,4.297
2CXO J023524.0-070952,16.254,14.970999999999998,11.907,8.923
2CXO J023529.0-092512,15.998,14.883,11.934,9.078
2CXO J023530.6-070504,16.776,15.567,12.444,9.064
2CXO J023549.7-071120,11.191,10.972,10.646,9.012
2CXO J023623.7+385908,15.421,14.714,10.902,9.155
2CXO J023958.9+611519,9.755,9.766,9.788,7.945
2CXO J024044.9+611656,5.795,5.797999999999999,5.937,5.582999999999998
2CXO J025756.5+130831,15.762,14.972,12.594,8.623
2CXO J025808.8+132223,16.977999999999998,15.744000000000002,12.237,8.869
2CXO J030446.3+034947,16.061,15.193,12.217,8.863999999999997
2CXO J031859.3-441627,13.896,13.626,11.991,9.306
2CXO J032849.0-271859,8.531,8.372,8.236,8.514
2CXO J033621.1-353335,15.655,14.775,12.317,9.638
2CXO J033627.6-355547,15.543,14.202,11.612,9.242
2CXO J033637.2-354434,17.587,16.96,13.52,9.793
2CXO J033653.9-361606,14.361,13.14,10.144,7.85
2CXO J033701.6-350808,15.925999999999998,14.464,11.529000000000002,9.27
2CXO J033703.5-354113,15.29,14.697,12.027,9.213
2CXO J033938.2-352352,16.688,16.067,13.27,9.383
2CXO J033940.2-353040,17.133,17.174,13.485,9.774
2CXO J033942.9-352410,15.032,14.002,11.125,8.583
2CXO J033949.7-352349,15.405,14.939,11.673,9.174
2CXO J033950.5-352537,15.907,14.867,11.919,9.109
2CXO J034007.6-352938,17.314,16.28,13.009,9.391
2CXO J034015.4-352849,15.57,14.414,11.874,8.995
2CXO J034031.1-350508,16.881,15.385,12.524,9.604
2CXO J034117.5-352615,7.933,7.928,7.944,7.966
2CXO J034142.4-351408,15.103,14.035,11.348,8.706
2CXO J041733.9+282048,7.724,7.265,5.999,4.511
2CXO J041831.1+281628,6.81,5.779,3.748,1.761
2CXO J041831.6+281658,8.655,7.495,3.888,2.095
2CXO J041858.2+281222,9.458,8.31,5.724,2.9530000000000003
2CXO J041912.5+282929,8.912,8.425,6.801,4.886
2CXO J042134.6+270138,10.057,9.602,8.415,7.385
2CXO J042146.3+265929,11.739,11.236,9.327,7.6789999999999985
2CXO J042155.6+275505,7.06,6.479,4.891,2.737
2CXO J042200.7+265732,10.228,8.347999999999999,4.798,2.0340000000000003
2CXO J042202.1+265730,7.172999999999999,6.443,4.151,1.364
2CXO J042216.7+265457,7.69,6.947,5.254,3.235
2CXO J042426.4+264950,11.377,10.902,,
2CXO J042457.0+271156,7.752999999999999,7.25,5.448,3.575
2CXO J042656.2+244335,8.115,6.056,3.1860000000000004,0.132
2CXO J042930.8+264017,7.376,7.436,7.428,7.193
2CXO J043003.5+181349,8.917,8.845,8.953,5.97
2CXO J043214.5+182014,8.148,8.07,7.955,7.59
2CXO J043354.5+261325,7.438,6.885,5.252999999999999,3.575
2CXO J043736.1-022825,4.4860000000000015,4.085,4.538,4.387
2CXO J044148.2-011806,11.42,11.283,7.756,5.5779999999999985
2CXO J044529.7-591328,13.706,13.317,8.767999999999999,6.46
2CXO J044536.7-591428,12.675999999999998,12.558,9.922,6.957000000000002
2CXO J044546.1-591223,14.807,14.125,10.049,7.923999999999999
2CXO J044553.3-591528,14.858,14.212,10.395,7.6320000000000014
2CXO J050927.0-685836,8.825,8.897,8.927,8.079
