name,ok,ra,dec,offset,cat_ra,cat_dec,cat_name,catalog,our_class,mw_class,mw_subclass,mw_ref,sep
2CXO J174429.4-113454,1,266.1225030083924,-11.581923465846875,0.08514069179654295,266.1225,-11.5819,J1744-1134,FERMI,PULSAR,PULSAR,HE[aaa+09f],2005AJ....129.1993M,0.25436
2CXO J224142.0-523636,0,340.4250380802286,-52.61005979441046,0.08598272436486241,340.4250771,-52.6100628,PSR J2241-5236  ,ATNF,PULSAR,LMXB,HE,2005AJ....129.1993M,0.085937
2CXO J053522.7-044829,0,83.84494218768816,-4.808295592541955,0.0862766956025719,83.8449583,-4.8082778,ESO-HA 1216                ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.270463
2CXO J104346.9-593318,1,160.94566405061002,-59.55511076276963,0.08648013261920541,160.945671,-59.555087,7940,SPICY,YSO,YSO,II,2011ApJS..194...14P,0.098985
2CXO J141118.3+481257,1,212.82625552179798,48.21600094755142,0.08677020820414247,212.82629166666663,48.216,ZTF18aautxxk,opencv,CV,CV,IBWD,2005JAD....11....2D,0.144028
2CXO J053517.1-052645,0,83.82148943235654,-5.445977917243222,0.08805789356961029,83.8215,-5.4460000000000015,[H97b] 546                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.395444
2CXO J112057.1-615500,1,170.2381781882809,-61.916700733013116,0.08852377202010002,170.23822370207,-61.916712799449996,WRAY 15-793                        ,simbad,HMXB,HMXB,O9.5IVe,Simbad,0.087639
2CXO J053509.6-052623,0,83.79020344019081,-5.439808836791084,0.08977320810735077,83.7902083,-5.4398333,[H97b] 335                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.21252800000000002
2CXO J053452.9-052859,0,83.72052377470158,-5.4830916115240615,0.09029881958642223,83.7205,-5.4830833,[H97b] 138                 ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.095121
2CXO J123636.6+621346,1,189.15255324417686,62.22969597468754,0.09047666390405516,189.1525,62.2297,IW3_0817_0556    ,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.129436
2CXO J085121.7+115237,1,132.8406484653811,11.87720493791951,0.09095594836240248,132.840625,11.8771944,NGC 2682 136               ,SKIFF,STAR,STAR,F8V,1987ApJS...64..241S,0.090955
2CXO J055401.8+014027,0,88.50785198062994,1.6742115356487652,0.0912986878830186,88.507875,1.6742221999999998,[OH83] L1622 6             ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.153925
2CXO J145256.5+580844,1,223.23549341243717,58.14572748856746,0.09369806488313084,223.2355417,58.14572220000001,HD 238402                  ,SKIFF,STAR,STAR,F2,1928AnHar.100...49C,0.093699
2CXO J053503.0-052237,0,83.76286451728168,-5.377142772254354,0.09397719732005497,83.762875,-5.3771667,COUP 187                   ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.320404
2CXO J022634.3+620152,0,36.64309644366216,62.03130069642445,0.09409773466654152,36.64304170000001,62.031305599999996,[KKB2015] 46               ,SKIFF,STAR,YSO,B4/5V,2015ApJ...813...42K,0.094099
2CXO J053513.0-053934,0,83.80422454488621,-5.659673724746492,0.09448171216398506,83.8042083,-5.6596944,LX Ori                     ,SKIFF,STAR,YSO,D,2012AJ....144..192M,0.48285
2CXO J151106.4+054122,1,227.7767263577197,5.689696797013714,0.09512178833736376,227.7767,5.6897,SDSS J15111+0541 ,VERONCAT,AGN,AGN,A,2010A&A...518A..10V,0.23118400000000003
2CXO J030518.4+034600,1,46.32681993907977,3.766745038973783,0.09520366492619298,46.3268333,3.7667222000000002,BD+03 429                  ,SKIFF,STAR,STAR,F5,1949TOYal..20.....B,0.095204
2CXO J193205.9+110413,1,293.0246914458468,11.070520742261719,0.0955072862104108,293.0247083,11.0705,HD 231694                  ,SKIFF,STAR,STAR,K0,1927AnHar.100...33C,0.095506
