N,Identifier,Otype,ICRS (J2000) RA,ICRS (J2000) DEC
248,[GHE2001] W242,BY*,00 24 14.033,-72 04 03.16
249,CXOGlb J002414.2-720308,X,00 24 14.209,-72 03 07.93
250,CXOGlb J002414.5-720653,X,00 24 14.556,-72 06 53.51
251,[GHE2001] W239,BY*,00 24 15.053,-72 05 03.20
252,CXOGlb J002415.1-720443,XB*,00 24 15.163,-72 04 43.36
253,CXOGlb J002415.2-720433,X,00 24 15.203,-72 04 33.26
254,Cl* NGC  104  AGBWF  3-3,EB*,00 24 15.261,-72 04 56.61
255,CXOGlb J002415.3-720450,BY*,00 24 15.319,-72 04 50.02
256,CXOGlb J002415.4-720646,X,00 24 15.39,-72 06 46.1
257,CXOGlb J002415.5-720221,X,00 24 15.581,-72 02 21.50
258,CXOGlb J002415.6-720441,XB*,00 24 15.678,-72 04 41.31
259,CXOGlb J002415.7-720307,X,00 24 15.722,-72 03 07.17
260,Cl* NGC  104  AGBWF  2-48,CV*,00 24 15.880,-72 04 36.38
261,CXOGlb J002415.9-720451,XB*,00 24 16.023,-72 04 51.56
262,[GHE2001] W235,X,00 24 16.046,-72 04 12.60
263,CXOGlb J002416.1-720338,X,00 24 16.129,-72 03 38.41
264,PSR J0023-72Q,Psr,00 24 16.482,-72 04 25.15
265,CXOGlb J002416.7-720447,BY*,00 24 16.727,-72 04 47.30
266,CXOGlb J002416.9-720427,CV*,00 24 16.969,-72 04 27.18
267,CXOGlb J002417.2-720559,X,00 24 17.218,-72 05 59.12
268,CXOGlb J002417.2-720446,X,00 24 17.228,-72 04 46.06
269,CXOGlb J002417.2-720302,X,00 24 17.275,-72 03 02.74
270,CXOGlb J002417.5-720357,X,00 24 17.532,-72 03 57.66
271,[GHE2001] W231,X,00 24 18.068,-72 06 18.92
272,CXOGlb J002418.4-720334,X,00 24 18.486,-72 03 34.84
273,CXOGlb J002418.5-720606,X,00 24 18.543,-72 06 06.69
274,Cl* NGC  104  AGBWF  3-4,EB*,00 24 18.609,-72 04 55.10
275,[GHE2001] W227,PM*,00 24 18.6949166040,-72 02 25.565087220
276,CXOGlb J002418.8-720602,XB*,00 24 18.795,-72 06 02.74
277,CXOGlb J002419.3-720334,X,00 24 19.364,-72 03 34.78
278,CXOGlb J002419.3-720431,XB*,00 24 19.374,-72 04 31.26
279,CXOGlb J002419.7-720349,X,00 24 19.701,-72 03 49.61
280,CXOGlb J002420.1-720306,X,00 24 20.124,-72 03 06.40
281,CXOGlb J002420.4-720722,X,00 24 20.493,-72 07 22.68
282,CXOGlb J002420.9-720518,X,00 24 20.936,-72 05 18.93
283,CXOGlb J002421.2-720503,BY*,00 24 21.272,-72 05 03.02
284,CXOGlb J002421.4-720433,X,00 24 21.437,-72 04 33.16
285,CXOGlb J002421.7-720252,X,00 24 21.726,-72 02 52.55
286,CXOGlb J002422.5-720423,X,00 24 22.528,-72 04 23.77
287,CXOGlb J002422.7-720328,X,00 24 22.752,-72 03 28.86
288,CXOGlb J002423.9-720414,X,00 24 23.926,-72 04 14.10
289,CXOGlb J002424.6-720500,BY*,00 24 24.638,-72 05 00.15
290,Cl* NGC  104  AGBWF  3-5,EB*,00 24 25.127,-72 05 07.29
291,CXOGlb J002425.8-720703,X,00 24 25.83,-72 07 03.6
292,CXOGlb J002426.9-720241,X,00 24 26.899,-72 02 41.78
293,CXOGlb J002427.5-720626,X,00 24 27.547,-72 06 26.77
294,CXOGlb J002428.3-720601,X,00 24 28.369,-72 06 01.64
295,CXOGlb J002428.9-720256,X,00 24 28.958,-72 02 56.68
296,CXOGlb J002429.9-720643,X,00 24 29.915,-72 06 43.51
297,CXOGlb J002430.6-720532,X,00 24 30.633,-72 05 32.39
298,CXOGlb J002430.7-720446,EB*,00 24 30.740,-72 04 46.67
299,CXOGlb J002431.3-720618,X,00 24 31.320,-72 06 18.20
300,CXOGlb J002431.7-720538,X,00 24 31.789,-72 05 38.15
301,CXOGlb J002432.3-720350,X,00 24 32.329,-72 03 50.42
302,CXOGlb J002432.5-720557,X,00 24 32.502,-72 05 57.78
303,CXOGlb J002432.6-720622,X,00 24 32.653,-72 06 22.83
304,CXOGlb J002432.6-720311,X,00 24 32.688,-72 03 11.09
305,CXOGlb J002434.1-720333,X,00 24 34.189,-72 03 33.60
306,[GHE2001] W132,X,00 24 34.989,-72 05 01.72
307,CXOGlb J002437.1-720517,X,00 24 37.150,-72 05 16.95
308,CXOGlb J002438.7-720427,X,00 24 38.762,-72 04 27.66
309,M   3,GlC,13 42 11.62,+28 22 38.2
