recno|MIRES|RAJ2000|DEJ2000
     406|G206.4064-16.2776|085.44151|-01.76040
     407|G206.5510-16.3506|085.44155|-01.91717
     408|G206.5799-16.3648|085.44189|-01.94837
     409|G206.4182-16.2826|085.44239|-01.77273
     410|G206.4451-16.2961|085.44247|-01.80186
     411|G206.5651-16.3563|085.44281|-01.93179
     412|G206.5041-16.3251|085.44318|-01.86548
     413|G206.4775-16.3113|085.44343|-01.83645
     414|G205.8669-16.0013|085.44351|-01.17306
     415|G207.1229-16.6348|085.44455|-02.53478
     416|G206.8941-16.5199|085.44460|-02.28723
     417|G206.5201-16.3311|085.44501|-01.88186
     418|G206.4750-16.3077|085.44552|-01.83262
     419|G206.8855-16.5140|085.44605|-02.27720
     420|G206.4851-16.3118|085.44638|-01.84317
     421|G206.6346-16.3872|085.44651|-02.00522
     422|G206.4379-16.2875|085.44684|-01.79170
     423|G206.6044-16.3715|085.44693|-01.97228
     424|G206.3863-16.2606|085.44751|-01.73534
     425|G206.5376-16.3354|085.44905|-01.89870
     426|G206.6166-16.3751|085.44922|-01.98428
     427|G206.3697-16.2497|085.44968|-01.71617
     428|G206.5389-16.3350|085.44993|-01.89962
     429|G206.4324-16.2760|085.45455|-01.78170
     430|G206.5437-16.3321|085.45464|-01.90239
     431|G206.4516-16.2849|085.45522|-01.80214
     432|G206.4661-16.2918|085.45563|-01.81767
     433|G206.4609-16.2889|085.45585|-01.81189
     434|G206.5342-16.3246|085.45706|-01.89084
     435|G206.5266-16.3201|085.45768|-01.88223
     436|G206.5507-16.3322|085.45768|-01.90836
     437|G206.6321-16.3732|085.45780|-01.99656
     438|G206.4851-16.2983|085.45834|-01.83681
     439|G206.5974-16.3548|085.45855|-01.95850
     440|G206.5021-16.3064|085.45881|-01.85503
     441|G206.6012-16.3562|085.45901|-01.96245
     442|G206.3724-16.2393|085.46010|-01.71362
     443|G206.6820-16.3951|085.46068|-02.04917
     444|G206.5887-16.3479|085.46076|-01.94792
     445|G206.6072-16.3570|085.46097|-01.96787
     446|G206.5331-16.3183|085.46209|-01.88692
     447|G206.5624-16.3328|085.46239|-01.91862
     448|G206.4341-16.2676|085.46268|-01.77923
     449|G206.5590-16.3304|085.46306|-01.91459
     450|G206.5534-16.3270|085.46355|-01.90820
     451|G206.5487-16.3237|085.46434|-01.90273
     452|G206.5182-16.3069|085.46552|-01.86895
     453|G206.2784-16.1850|085.46610|-01.60847
     454|G206.4993-16.2962|085.46660|-01.84792
     455|G206.6173-16.3553|085.46701|-01.97567
     456|G206.4875-16.2896|085.46714|-01.83489
     457|G206.5983-16.3453|085.46743|-01.95487
     458|G206.6608-16.3766|085.46760|-02.02253
     459|G206.5973-16.3439|085.46814|-01.95337
     460|G206.5876-16.3363|085.47060|-01.94156
     461|G206.4121-16.2469|085.47122|-01.75083
     462|G206.6072-16.3449|085.47173|-01.96223
     463|G206.1750-16.1254|085.47235|-01.49287
     464|G206.5934-16.3368|085.47268|-01.94672
     465|G206.6098-16.3438|085.47388|-01.96392
     466|G206.5707-16.3232|085.47459|-01.92117
     467|G206.4178-16.2457|085.47481|-01.75523
     468|G206.4490-16.2611|085.47518|-01.78881
     469|G206.4307-16.2516|085.47539|-01.76892
     470|G206.3873-16.2263|085.47830|-01.72028
     471|G206.7010-16.3846|085.47843|-02.06034
     472|G206.6548-16.3610|085.47872|-02.01020
     473|G206.3632-16.2136|085.47881|-01.69384
     474|G206.4453-16.2541|085.47968|-01.78242
     475|G207.0112-16.5370|085.48159|-02.39461
     476|G206.6437-16.3503|085.48326|-01.99576
     477|G206.4687-16.2619|085.48326|-01.80592
     478|G206.5069-16.2804|085.48397|-01.84701
     479|G206.9061-16.4812|085.48426|-02.27947
     480|G207.1579-16.6069|085.48480|-02.55159
     481|G206.4892-16.2697|085.48556|-01.82703
     482|G206.6322-16.3408|085.48651|-01.98158
     483|G206.4324-16.2376|085.48851|-01.76378
     484|G206.4484-16.2450|085.48910|-01.78083
     485|G206.5609-16.2997|085.49106|-01.90186
     486|G206.4194-16.2277|085.49143|-01.74814
     487|G205.9744-15.9994|085.49364|-01.26351
     488|G205.9412-15.9820|085.49406|-01.22715
     489|G206.9198-16.4770|085.49417|-02.28917
     490|G206.7100-16.3709|085.49460|-02.06161
     491|G206.5576-16.2937|085.49493|-01.89631
     492|G205.9404-15.9796|085.49572|-01.22531
     493|G206.3852-16.2054|085.49589|-01.70867
     494|G205.9413-15.9796|085.49623|-01.22612
     495|G206.6418-16.3336|085.49718|-01.98633
     496|G206.4648-16.2421|085.49906|-01.79345
     497|G205.9429-15.9761|085.49997|-01.22581
     498|G206.5833-16.2962|085.50413|-01.91926
     499|G206.6021-16.3049|085.50488|-01.93928
     500|G206.5147-16.2595|085.50597|-01.84387
     501|G206.0624-16.0301|085.50597|-01.35258
     502|G206.5738-16.2885|085.50676|-01.90765
     503|G206.6055-16.3038|085.50731|-01.94167
     504|G206.4709-16.2354|085.50772|-01.79544
     505|G206.4880-16.2421|085.50939|-01.81311
     506|G206.6781-16.3375|085.50993|-02.01903
     507|G206.7805-16.3880|085.51092|-02.12947
     508|G207.0413-16.5180|085.51189|-02.41139
     509|G206.5398-16.2649|085.51243|-01.86772
     510|G207.0645-16.5282|085.51310|-02.43587
     511|G206.9595-16.4745|085.51401|-02.32170
     512|G206.4719-16.2280|085.51477|-01.79290
     513|G206.5282-16.2555|085.51560|-01.85354
     514|G206.5837-16.2800|085.51872|-01.91206
     515|G206.6291-16.3019|085.51960|-01.96081
     516|G206.6595-16.3120|085.52422|-01.99131
     517|G206.5583-16.2601|085.52493|-01.88120
