angDist,col1,name,significance,var_flag,streak_src_flag,pileup_flag,ra,dec,conf_flag,class,prob,var_inter_index_b,var_intra_index_b,col1,recno,MIRES,RAJ2000,DEJ2000
0.158999,71593,2CXO J085926.5-434537,6.017492479324992,0,0,0,134.86053786964652,-43.76054427543568,0,YSO,0.9466613527533418,,0.0,4969,4970,G265.1484+01.4470,134.86048,-43.760529999999996
0.593007,71596,2CXO J085926.9-434446,2.3043478260870134,0,0,0,134.86211016172876,-43.74636902992594,0,YSO,0.8323073229238174,,0.0,4972,4973,G265.1384+01.4570,134.86193,-43.74647
0.364268,71597,2CXO J085927.0-434551,4.486486486486777,0,0,0,134.8625751780063,-43.7644157448301,0,STAR,0.8743924681388996,,0.0,4973,4974,G265.1523+01.4455,134.86248,-43.76449
0.027634,71612,2CXO J085928.5-434602,4.571428571428275,0,0,0,134.86880774216968,-43.767495259464425,0,STAR,0.998827564371592,,5.0,4983,4984,G265.1576+01.4470,134.8688,-43.76749
0.133859,71617,2CXO J085929.0-434519,5.20000000000005,0,0,0,134.8710174506761,-43.755344488371115,0,STAR,0.8561703362811101,,5.0,4987,4988,G265.1494+01.4562,134.87098,-43.75537
0.250368,71619,2CXO J085929.3-434520,4.486486486486785,0,0,0,134.87231680466874,-43.755599223023815,0,YSO,0.930395957346819,,10.0,4991,4992,G265.1503+01.4567,134.87227,-43.75566
0.087619,141283,2CXO J172046.5-354537,2.666666666666649,0,0,0,260.1938637229944,-35.76029955725007,0,YSO,0.999575539403978,3.75,0.0,12551,12552,G351.4228+00.6775,260.19388,-35.76032
0.457949,71622,2CXO J085929.5-434900,6.584940407717596,0,0,0,134.87331456522622,-43.81676256224635,0,YSO,0.936000786526692,,0.0,4995,4996,G265.1970+01.4173,134.87349,-43.81675
0.194735,71623,2CXO J085929.7-434420,8.594463099017759,0,0,0,134.87375853909015,-43.739040914375636,0,STAR,0.7734333093408401,,0.0,4997,4998,G265.1385+01.4684,134.87378999999999,-43.739090000000004
0.179499,71624,2CXO J085929.7-434605,6.694610250789356,0,0,0,134.87394546908362,-43.76814722111922,0,YSO,0.8107800709946126,,10.0,4998,4999,G265.1605+01.4493,134.87391000000002,-43.768190000000004
0.201885,71625,2CXO J085929.9-434551,3.2222222222224315,0,0,0,134.87498641846287,-43.76435208255579,0,STAR,0.6828824408659702,,5.0,5001,5002,G265.1582+01.4525,134.87506000000002,-43.76437
0.454582,71630,2CXO J085930.8-434356,4.833333333333334,0,0,0,134.87865208321898,-43.73237592194074,0,YSO,0.7989583511570677,,10.0,5009,5010,G265.1358+01.4755,134.87881000000002,-43.73243
0.028661,71631,2CXO J085931.0-434555,7.0744293915136405,0,0,0,134.8794608228318,-43.765365588552335,0,YSO,0.7879407476044363,,0.0,5010,5011,G265.1610+01.4542,134.87947,-43.765370000000004
0.306312,71637,2CXO J085931.6-434515,2.35294117647048,0,0,0,134.88202029029696,-43.75421901598113,0,YSO,0.8372054535609316,,10.0,5011,5012,G265.1539+01.4630,134.88213000000002,-43.75425
0.277038,71639,2CXO J085932.0-434427,2.111111111111022,0,0,0,134.88359324875648,-43.74091218764613,0,YSO,0.9036063809067684,,0.0,5012,5013,G265.1445+01.4726,134.88369,-43.74088
0.283501,141301,2CXO J172049.8-354539,3.085714285714261,0,0,0,260.2075006020616,-35.760955050308844,0,YSO,0.9769437206386516,,0.0,12573,12574,G351.4287+00.6681,260.20752999999996,-35.76088
0.304747,71645,2CXO J085932.3-434456,4.125000000000338,0,0,0,134.88495630387786,-43.74916223673769,0,YSO,0.8481512769902446,,0.0,5014,5015,G265.1514+01.4678,134.88491000000002,-43.74924
0.346577,11562,2CXO J063032.4+050312,1.826086956521844,0,0,0,97.63529308399876,5.053334101063782,0,STAR,0.4795430109478371,,0.0,6506,6507,G206.0485-02.3244,97.6352,5.05336
0.203723,71651,2CXO J085933.5-434250,2.4324324324324325,0,0,0,134.8895894142099,-43.71411685349052,0,YSO,0.8280876271176207,,0.0,5019,5020,G265.1271+01.4933,134.88953,-43.714079999999996
0.631510,11564,2CXO J063033.2+050335,3.87500000000009,0,0,0,97.63860369259136,5.059975135502055,0,STAR,0.9987645309334096,,5.0,6509,6510,G206.0440-02.3184,97.63848,5.0601
0.785362,71659,2CXO J085934.5-434202,2.864864864864858,0,0,0,134.89411684023946,-43.70068794851862,0,YSO,0.9159337511700524,,0.0,5029,5030,G265.1190+01.5048,134.89413000000002,-43.70047
0.273668,71660,2CXO J085934.5-434449,2.2631578947368447,0,0,0,134.8937735024499,-43.74710559889542,0,YSO,0.7957318352080158,,5.0,5028,5029,G265.1540+01.4739,134.8937,-43.74716
0.124518,71674,2CXO J085937.1-434432,3.1666666666664867,0,0,0,134.90490306729248,-43.74224764733219,0,YSO,0.7243212332321676,,0.0,5043,5044,G265.1556+01.4832,134.90492,-43.74228
0.179805,141332,2CXO J172054.1-354554,5.3529411764706465,0,0,0,260.22579689984696,-35.765069976223174,0,YSO,0.9841701309540076,6.25,0.0,12616,12617,G351.4337+00.6536,260.22576000000004,-35.765029999999996
0.123990,11588,2CXO J063046.1+045839,3.937499999999941,0,0,0,97.6924020401798,4.9775070623746105,0,PULSAR,0.4157122770368218,,0.0,6530,6531,G206.1421-02.3089,97.69237,4.977519999999999
0.420844,141344,2CXO J172057.9-354431,2.7027027027027146,0,0,0,260.24164397427245,-35.74211141089177,0,YSO,0.9785046168979316,3.75,0.0,12667,12668,G351.4598+00.6561,260.24155,-35.7422
0.632836,71689,2CXO J085939.5-434412,2.3783783783783647,0,0,0,134.91464531327432,-43.7369052050923,0,YSO,0.9200686112855074,,0.0,5050,5051,G265.1564+01.4920,134.91473,-43.73707
0.554555,71691,2CXO J085939.7-434436,3.222222222222399,0,0,0,134.9157659699537,-43.74352606580017,0,YSO,0.911293357213535,,0.0,5052,5053,G265.1618+01.4882,134.91568999999998,-43.74367
0.216066,11595,2CXO J063049.7+045822,8.286381077990823,0,0,0,97.70720128674697,4.972959995405146,0,STAR,0.999962209405064,,5.0,6536,6537,G206.1529-02.2979,97.7072,4.97302
0.218684,71692,2CXO J085939.7-434846,14.032164874869533,0,0,0,134.91560905571941,-43.81301668365608,0,STAR,0.9122341230328084,,0.0,5051,5052,G265.2141+01.4427,134.91568999999998,-43.813
0.302630,71694,2CXO J085940.7-434640,2.3783783783783408,0,0,0,134.91976780437972,-43.778018250158986,0,STAR,0.8205192417718701,,0.0,5057,5058,G265.1896+01.4678,134.91966000000002,-43.77805
0.278937,141351,2CXO J172100.8-355211,4.000000000000169,0,0,0,260.2534822202251,-35.869819519718156,0,STAR,0.9875418028892212,6.25,10.0,12691,12692,G351.3605+00.5754,260.25344,-35.86975
0.652110,11599,2CXO J063053.8+045706,1.9473684210526685,0,0,0,97.72436915947662,4.95175658147484,0,STAR,0.9927950975435652,,0.0,6545,6546,G206.1798-02.2927,97.72423,4.95164
0.155870,71700,2CXO J085942.3-434433,1.8888888888889297,0,0,0,134.9262586418252,-43.74260328623593,0,YSO,0.728406160495406,,5.0,5060,5061,G265.1660+01.4947,134.92626,-43.74256
0.419393,11605,2CXO J063055.5+045605,2.210526315789498,0,0,0,97.73132751487007,4.934798087778718,0,STAR,0.98682898393284,,5.0,6550,6551,G206.1979-02.2941,97.73136,4.9349099999999995
0.337871,11616,2CXO J063058.4+045503,5.692225771599902,0,0,0,97.74350532206849,4.917652377834417,0,STAR,0.9457199394423952,,0.0,6558,6559,G206.2187-02.2914,97.74344,4.91772
0.196863,11617,2CXO J063058.5+045912,1.9459459459459496,0,0,0,97.74414210844627,4.986744115980929,0,STAR,0.9929995607956184,,5.0,6559,6560,G206.1578-02.2589,97.74415,4.98669
0.107318,11622,2CXO J063100.5+045807,4.124999999999982,0,0,0,97.75230417555605,4.968702433295023,0,STAR,0.9994164584036156,,5.0,6565,6566,G206.1775-02.2600,97.75228,4.968719999999999
0.182734,11624,2CXO J063101.5+045734,6.902523310956202,0,0,0,97.75642512523676,4.959576432063329,0,STAR,0.9999932515756648,,0.0,6566,6567,G206.1875-02.2606,97.75638000000001,4.9596
0.235189,11625,2CXO J063102.8+050349,3.6969696969697488,0,0,0,97.76203667361135,5.0637971189858,0,STAR,0.9998891380921591,,5.0,6572,6573,G206.0975-02.2076,97.76198000000001,5.06383
0.196332,11630,2CXO J063105.5+045525,5.085714285714332,0,0,0,97.7732180878612,4.923710830638365,0,STAR,0.8070848034088506,,10.0,6579,6580,G206.2271-02.2623,97.77318000000001,4.92375
0.559556,11646,2CXO J063133.9+041421,3.2941176470588522,0,0,0,97.89125311933662,4.23917188236329,0,STAR,0.8319457618352367,,0.0,6635,6636,G206.8894-02.4737,97.89121999999999,4.23902
0.673745,11656,2CXO J063143.7+042437,1.948717948717976,0,0,0,97.9321489895612,4.410494579800041,0,STAR,0.9016018653363548,,5.0,6684,6685,G206.7561-02.3585,97.93218,4.41031
0.774006,11674,2CXO J063151.9+041912,3.8181818181816736,0,0,0,97.96647657943691,4.320198895509856,0,STAR,0.9366403872455744,,0.0,6738,6739,G206.8522-02.3696,97.96661,4.32003
0.168458,11681,2CXO J063158.6+041721,3.5294117647060217,0,0,0,97.99436428088579,4.289224513584837,0,STAR,0.8067432213742345,,0.0,6785,6786,G206.8923-02.3593,97.99432,4.28924
0.358389,11684,2CXO J063200.9+041833,2.111111111111093,0,0,0,98.00414979801052,4.3093973355612585,0,STAR,0.8234468651509469,,5.0,6802,6803,G206.8789-02.3412,98.00424,4.30944
0.388792,11686,2CXO J063205.5+041506,5.085714285714232,0,0,0,98.0233315055608,4.251688889670473,0,STAR,0.9907974632474577,,0.0,6825,6826,G206.9390-02.3510,98.02327,4.2516
0.360381,11707,2CXO J063221.3+044619,5.794700903273719,0,0,0,98.0889342670805,4.7720256984008325,0,STAR,0.9998063491331448,,0.0,6871,6872,G206.5071-02.0531,98.089,4.77195
0.835423,11715,2CXO J063224.8+044315,2.9142857142855334,0,0,0,98.10343388227129,4.720964593674756,0,STAR,0.559920037234662,,0.0,6883,6884,G206.5590-02.0636,98.10365999999999,4.721019999999999
0.307160,11721,2CXO J063228.9+044931,4.378378378378309,0,0,0,98.1206384119957,4.825292565814245,0,STAR,0.9991983897211512,,0.0,6896,6897,G206.4743-02.0005,98.12066,4.82521
0.481595,11724,2CXO J063230.8+044620,2.0000000000000693,0,0,0,98.12870043587021,4.7724778342748335,0,STAR,0.9930684707267528,,5.0,6905,6906,G206.5250-02.0178,98.12874000000001,4.77235
0.747038,11755,2CXO J063245.0+044523,3.352941176470663,0,0,0,98.18788323869205,4.75644458354659,0,STAR,0.9979871525561584,,0.0,6944,6945,G206.5664-01.9726,98.18809,4.756419999999999
0.617953,11759,2CXO J063247.8+044343,4.3684210526315725,0,0,0,98.19918040887615,4.728839988190483,0,YSO,0.7655826901691162,,5.0,6951,6952,G206.5961-01.9754,98.19935,4.72881
0.571674,11761,2CXO J063248.1+044526,2.1666666666666408,0,0,0,98.20063126749905,4.7572460655920255,0,STAR,0.9885266846045064,,0.0,6952,6953,G206.5715-01.9610,98.20079,4.75726
0.723402,11768,2CXO J063250.7+044447,7.499622947397253,0,0,0,98.2113555112652,4.7466380746610035,0,STAR,0.9996307966843312,,0.0,6958,6959,G206.5859-01.9565,98.21148000000001,4.74648
0.567128,11777,2CXO J063259.7+044725,3.3529411764705537,0,0,0,98.24882389824528,4.790288080897226,0,STAR,0.9885529424958316,,0.0,6979,6980,G206.5644-01.9033,98.2489,4.79015
0.585616,11800,2CXO J063309.3+043107,8.206029527586619,0,0,0,98.28914970275505,4.518696802151148,0,STAR,0.9999767554566108,,5.0,7006,7007,G206.8241-01.9927,98.28922,4.51855
0.277125,11805,2CXO J063311.3+043209,2.540540540540518,0,0,0,98.2974581854968,4.535991668184695,0,STAR,0.9941221822960244,,0.0,7022,7023,G206.8124-01.9774,98.29743,4.53592
0.431148,11811,2CXO J063312.8+043458,3.818181818181837,0,0,0,98.30348811397907,4.5830336428741365,0,STAR,0.9862502452254458,,0.0,7033,7034,G206.7735-01.9503,98.3036,4.582990000000001
0.611630,11813,2CXO J063313.8+043251,3.235294117647157,0,0,0,98.30773038155621,4.547634513182625,0,STAR,0.9985767743746784,,0.0,7039,7040,G206.8069-01.9629,98.30781999999999,4.54749
0.537668,11818,2CXO J063314.5+043537,4.062499999999934,0,0,0,98.31066709472653,4.5936604798041065,0,STAR,0.9979241376721444,,10.0,7045,7046,G206.7674-01.9391,98.31074,4.59353
0.826640,11826,2CXO J063316.1+043453,2.5945945945946027,0,0,0,98.31747011788872,4.581444142084866,0,STAR,0.9910382245459094,,10.0,7051,7052,G206.7814-01.9386,98.31766999999999,4.58133
0.337127,11835,2CXO J063319.7+043703,3.3714285714284804,0,0,0,98.33235532662873,4.617616830333362,0,STAR,0.8707390269322833,,0.0,7058,7059,G206.7560-01.9089,98.33243,4.61756
