id,ra,dec,pos_err
cid_1972,149.941115,2.663727,0.513
cid_1975,149.951057,2.694328,0.644
cid_1976,149.952278,2.651123,0.855
cid_1977,149.955166,2.657823,0.871
cid_198,149.709556,1.8833,0.465
cid_199,149.716016,1.863273,0.444
cid_1995,150.42449,2.291752,0.456
cid_20,150.17046,2.2188,0.2
cid_200,149.733143,1.900278,0.302
cid_2000,150.4338,2.225468,0.302
cid_2002,150.442959,2.229873,0.381
cid_2004,150.44999,2.250861,0.429
cid_201,149.90613,1.917286,0.108
cid_2012,150.479564,2.25308,0.156
cid_2013,150.481804,2.273194,0.196
cid_2015,150.48704,2.283044,0.946
cid_2016,150.49134,2.25534,0.286
cid_2018,150.494024,2.225492,0.398
cid_202,149.92258,1.979333,0.19
cid_2027,150.518606,2.157731,0.59
lid_3739,150.377151,1.563703,1.575
lid_374,149.921833,2.875319,0.21
lid_3740,150.392376,1.676825,0.42
lid_3743,150.402461,1.714088,0.258
lid_3745,150.419351,1.719018,0.204
lid_3746,150.419607,1.661695,0.32
lid_3250,149.890948,2.623531,0.218
lid_3251,149.905319,2.666461,0.634
lid_3253,149.906516,2.720763,0.333
lid_3254,149.915374,2.696437,0.408
lid_3258,149.770757,2.728863,0.606
lid_3259,149.787396,2.671889,0.286
lid_326,150.202156,2.795915,0.306
lid_3263,149.823918,2.690454,1.023
lid_3264,149.84447,2.761264,0.392
lid_3269,149.781099,2.702514,0.481
lid_327,150.213667,2.862587,0.645
lid_3273,149.826998,2.676203,0.679
lid_3275,149.707792,2.817847,0.942
lid_3276,149.755816,2.804898,0.354
lid_3278,149.7851,2.835698,0.55
lid_3279,149.65371,2.719873,0.47
lid_328,150.215101,2.794631,0.342
lid_3280,149.723258,2.728532,0.599
lid_3283,149.762991,2.695195,0.635
lid_3285,149.792014,2.638095,0.394
lid_3289,149.742691,2.540347,0.311
lid_329,150.226845,2.874749,1.262
lid_3290,149.752268,2.629196,0.243
lid_3291,149.754529,2.538334,0.487
lid_3293,149.585383,2.369228,0.82
lid_3295,149.649527,2.386194,0.349
lid_3296,149.662872,2.33676,0.428
lid_3297,149.724512,2.369623,0.915
lid_330,150.227531,2.757851,0.122
lid_3303,149.63388,2.21566,0.732
lid_3305,149.655502,2.310758,0.452
lid_3307,149.675924,2.222439,0.507
lid_3308,149.678522,2.20422,0.972
lid_3309,149.711802,2.215859,0.472
lid_331,150.230604,2.778134,0.24
lid_3310,149.486269,2.122154,1.024
lid_3312,149.5034,2.118023,0.737
lid_3313,149.552678,2.15119,0.341
lid_3314,149.560733,2.137069,0.399
lid_3315,149.575943,2.213472,0.689
lid_332,150.236685,2.813706,0.196
lid_3320,149.633922,2.06603,0.88
lid_3324,149.441562,2.043822,1.122
lid_3327,149.513785,2.044294,0.562
lid_3329,149.527565,2.091478,0.708
lid_333,150.251478,2.737264,0.323
lid_3331,149.533268,2.032194,0.248
lid_3333,149.547031,2.059944,0.349
lid_3335,149.563954,2.030012,0.329
lid_3336,149.583206,2.045656,0.378
lid_3337,149.591484,2.036083,0.799
lid_3338,149.583342,2.778004,0.878
lid_334,150.254328,2.831868,0.22
lid_3343,149.542883,2.375717,0.55
lid_3345,149.340084,2.300424,1.803
lid_3347,149.398552,2.252748,1.17
lid_3349,149.412092,2.410103,1.316
lid_335,150.255645,2.770546,0.455
lid_3350,149.415292,2.250284,1.005
lid_3351,149.417634,2.265614,0.875
lid_3353,149.479629,2.206855,1.385
lid_3354,149.498748,2.301462,0.32
lid_3356,149.504038,2.300291,0.33
lid_3357,149.531815,2.2508,0.835
lid_3358,149.562104,2.305016,0.56
lid_336,150.259729,2.769277,0.223
lid_3360,149.441732,2.746492,0.594
lid_3364,149.485059,2.865599,1.956
lid_1192,149.746408,1.517985,0.934
lid_1193,149.767019,1.663872,0.422
lid_1194,149.773571,1.540579,0.426
lid_1195,149.776062,1.571856,0.264
lid_1196,149.777861,1.69548,0.244
lid_1197,149.785611,1.592758,0.213
lid_1198,149.787712,1.712195,0.615
lid_1199,150.047463,1.42322,0.804
lid_1200,150.082429,1.474272,0.407
lid_1201,150.086098,1.468689,0.636
lid_1202,150.111167,1.543136,0.2
lid_1203,150.12856,1.435803,0.985
lid_1204,150.130571,1.505687,0.324
lid_1205,150.132264,1.418729,0.837
lid_1206,150.151318,1.603789,0.265
lid_1207,150.173562,1.514475,0.704
lid_1208,149.887752,1.590384,0.751
lid_1209,149.884411,1.502391,0.68
lid_1210,149.893267,1.480267,0.218
lid_1211,149.894934,1.555495,0.324
lid_1212,149.897717,1.516523,0.263
lid_1213,149.90963,1.504277,0.29
lid_1214,149.910261,1.569393,0.39
lid_1215,149.928177,1.54454,0.202
lid_1216,149.934772,1.542684,0.61
lid_1217,149.937628,1.474623,0.516
lid_1218,149.940112,1.508926,0.254
lid_1219,149.941973,1.543096,0.245
lid_1220,149.945077,1.618071,0.316
lid_1221,149.954764,1.648794,0.724
lid_1222,149.963947,1.52313,0.444
lid_1223,149.976433,1.637336,0.503
lid_1224,149.978354,1.535146,0.1
lid_1225,149.981182,1.599233,0.391
lid_1226,149.986048,1.617194,0.1
lid_1227,149.986877,1.615696,0.232
lid_1228,149.989717,1.573224,0.261
lid_1229,149.990286,1.60167,0.153
lid_1230,149.994694,1.56366,0.163
lid_1231,149.88811,1.700583,0.45
lid_1232,149.903856,1.439358,1.095
lid_1233,149.961849,1.431346,1.261
lid_1234,149.97516,1.471187,1.004
lid_1235,149.983323,1.495427,0.426
