recno|RAJ2000|DEJ2000
     746|083.81696|-05.39815
     747|083.81699|-05.34339
     748|083.81701|-05.38527
     749|083.81702|-05.38168
     750|083.81706|-05.40316
     751|083.81712|-05.38971
     752|083.81716|-05.38726
     753|083.81717|-05.37013
     754|083.81727|-05.38522
     755|083.81728|-05.26331
     756|083.81729|-05.23689
     757|083.81732|-05.38201
     758|083.81748|-05.37707
     759|083.81749|-05.35301
     760|083.81750|-05.35896
     761|083.81753|-05.41563
     762|083.81753|-05.53361
     763|083.81756|-05.31843
     764|083.81764|-05.37339
     765|083.81770|-05.38861
     766|083.81774|-05.47606
     767|083.81782|-05.51681
     768|083.81784|-05.36956
     769|083.81785|-05.35252
     770|083.81788|-05.38792
     771|083.81792|-05.34557
     772|083.81797|-05.34035
     773|083.81803|-05.37263
     774|083.81804|-05.29578
     775|083.81808|-05.30250
     776|083.81812|-05.26062
     777|083.81813|-05.38030
     778|083.81817|-05.49242
     779|083.81821|-05.41936
     780|083.81826|-05.40090
     781|083.81827|-05.41032
     782|083.81828|-05.36406
     783|083.81842|-05.37004
     784|083.81863|-05.33115
     785|083.81866|-05.38968
     786|083.81871|-05.38237
     787|083.81874|-05.37641
     788|083.81890|-05.29653
     789|083.81892|-05.44297
     790|083.81900|-05.27242
     791|083.81900|-05.34844
     792|083.81911|-05.42162
     793|083.81913|-05.35430
     794|083.81924|-05.32657
     795|083.81928|-05.38778
     796|083.81930|-05.28988
     797|083.81931|-05.35861
     798|083.81936|-05.37806
     799|083.81936|-05.54651
     800|083.81954|-05.31256
     801|083.81974|-05.33887
     802|083.81976|-05.37534
     803|083.81979|-05.47702
     804|083.81982|-05.38788
     805|083.81984|-05.28787
     806|083.81986|-05.36624
     807|083.81989|-05.39112
     808|083.81989|-05.40116
     809|083.81996|-05.24639
     810|083.82001|-05.28152
     811|083.82004|-05.31697
     812|083.82008|-05.40892
     813|083.82009|-05.39507
     814|083.82034|-05.38529
     815|083.82038|-05.51543
     816|083.82040|-05.37289
     817|083.82051|-05.37645
     818|083.82052|-05.31141
     819|083.82053|-05.45245
     820|083.82055|-05.28416
     821|083.82056|-05.36938
     822|083.82062|-05.37238
     823|083.82064|-05.42975
     824|083.82067|-05.34996
     825|083.82072|-05.35818
     826|083.82074|-05.38012
     827|083.82076|-05.38358
     828|083.82078|-05.39363
     829|083.82079|-05.54612
     830|083.82088|-05.37583
     831|083.82095|-05.33665
     832|083.82098|-05.26237
     833|083.82111|-05.39437
     834|083.82113|-05.35652
     835|083.82113|-05.39278
     836|083.82114|-05.48284
     837|083.82133|-05.30188
     838|083.82134|-05.38056
     839|083.82136|-05.41631
     840|083.82137|-05.30382
     841|083.82137|-05.35818
     842|083.82146|-05.31693
     843|083.82152|-05.44599
     844|083.82178|-05.35147
     845|083.82178|-05.35880
     846|083.82182|-05.34101
     847|083.82193|-05.38793
     848|083.82200|-05.40672
     849|083.82216|-05.34758
     850|083.82223|-05.37255
     851|083.82233|-05.35496
     852|083.82233|-05.37660
     853|083.82239|-05.42910
    1162|083.84259|-05.33554
     854|083.82240|-05.33744
     855|083.82240|-05.51289
     856|083.82241|-05.37936
     857|083.82241|-05.38468
     858|083.82243|-05.40007
     859|083.82248|-05.36767
     860|083.82251|-05.40387
     861|083.82259|-05.39491
     862|083.82260|-05.28239
     863|083.82263|-05.53794
     864|083.82268|-05.50699
     865|083.82280|-05.38918
     866|083.82285|-05.38092
     867|083.82285|-05.40481
     868|083.82291|-05.30625
     869|083.82295|-05.35170
     870|083.82305|-05.29452
     871|083.82308|-05.27019
     872|083.82311|-05.32477
     873|083.82311|-05.36671
     874|083.82314|-05.36264
     875|083.82315|-05.42855
     876|083.82320|-05.38244
     877|083.82320|-05.39018
     878|083.82321|-05.30898
     879|083.82340|-05.36494
     880|083.82340|-05.37011
     881|083.82354|-05.38103
     882|083.82357|-05.36885
     883|083.82374|-05.53389
     884|083.82375|-05.41503
     885|083.82390|-05.38745
     886|083.82398|-05.38892
     887|083.82400|-05.37524
     888|083.82403|-05.32455
     889|083.82405|-05.39516
     890|083.82412|-05.39560
     891|083.82425|-05.41141
     892|083.82429|-05.38766
     893|083.82429|-05.40850
     894|083.82432|-05.37210
     895|083.82439|-05.34833
     896|083.82448|-05.38419
     897|083.82451|-05.36746
     898|083.82453|-05.31211
     899|083.82453|-05.51147
     900|083.82454|-05.54703
     901|083.82455|-05.36485
     902|083.82458|-05.30985
     903|083.82470|-05.25914
     904|083.82471|-05.29892
     905|083.82471|-05.41849
     906|083.82480|-05.42257
     907|083.82481|-05.37928
     908|083.82481|-05.42611
     909|083.82489|-05.34990
     910|083.82490|-05.39318
     911|083.82494|-05.44741
     912|083.82497|-05.27914
     913|083.82498|-05.26081
     914|083.82500|-05.27050
     915|083.82502|-05.50882
     916|083.82503|-05.34882
     917|083.82504|-05.49294
     918|083.82514|-05.36815
     919|083.82519|-05.36143
     920|083.82519|-05.40087
     921|083.82532|-05.40032
     922|083.82546|-05.26290
     923|083.82548|-05.47363
     924|083.82575|-05.27597
     925|083.82587|-05.34253
     926|083.82587|-05.39329
     927|083.82594|-05.40841
     928|083.82596|-05.28945
     929|083.82600|-05.36837
     930|083.82600|-05.29587
     931|083.82603|-05.21855
     932|083.82603|-05.38765
     933|083.82613|-05.49829
     934|083.82618|-05.38539
     935|083.82626|-05.46585
     936|083.82627|-05.47950
     937|083.82632|-05.52832
     938|083.82642|-05.40135
     939|083.82653|-05.36225
     940|083.82657|-05.33789
     941|083.82658|-05.37706
     942|083.82659|-05.40745
     943|083.82664|-05.33897
     944|083.82697|-05.40198
     945|083.82698|-05.27719
     946|083.82711|-05.39144
     947|083.82712|-05.22728
     948|083.82714|-05.32496
     949|083.82719|-05.34520
     950|083.82725|-05.36390
     951|083.82728|-05.30569
     952|083.82746|-05.37534
     953|083.82747|-05.44022
     954|083.82748|-05.36323
     955|083.82750|-05.22428
     956|083.82754|-05.27648
     957|083.82764|-05.44203
     958|083.82766|-05.30974
     959|083.82780|-05.38720
     960|083.82781|-05.34270
     961|083.82785|-05.31819
     962|083.82786|-05.39910
     963|083.82796|-05.38244
     964|083.82799|-05.25502
     965|083.82810|-05.32725
     966|083.82819|-05.36724
     967|083.82826|-05.30072
     968|083.82840|-05.29143
     969|083.82853|-05.37304
     970|083.82854|-05.24603
     971|083.82861|-05.36143
     972|083.82866|-05.38528
     973|083.82867|-05.39135
     974|083.82868|-05.34194
     975|083.82873|-05.40485
     976|083.82880|-05.27058
     977|083.82884|-05.34686
     978|083.82887|-05.29764
     979|083.82888|-05.31755
     980|083.82899|-05.37187
     981|083.82900|-05.34782
     982|083.82903|-05.35214
     983|083.82906|-05.38943
     984|083.82917|-05.47287
     985|083.82931|-05.41749
     986|083.82947|-05.39714
     987|083.82953|-05.38540
     988|083.82970|-05.39084
     989|083.82973|-05.37628
     990|083.82977|-05.34327
