id_x,ra,dec,star_flag,spec_type,phot_type
lid_3868,150.617993,1.70925,0,-9,3
lid_3869,150.63737,1.805085,0,-9,3
lid_387,150.072687,2.945998,0,-9,3
lid_3870,150.639335,1.730072,0,-9,3
lid_3871,150.651077,1.689379,0,-9,3
lid_3872,150.670001,1.796872,0,-9,3
lid_3873,150.689989,1.752112,0,-9,-99
lid_3874,150.689968,1.581338,0,-9,3
lid_3876,150.711181,1.740176,0,-9,3
lid_3877,150.72922,1.69144,0,-9,3
lid_3878,150.74615,1.667891,0,-9,3
lid_388,150.073776,2.92299,0,-9,3
lid_3880,150.73631,1.882627,0,-9,3
lid_3881,150.742802,1.806998,0,-9,3
lid_3883,150.786168,1.908536,0,-9,3
lid_3885,150.720721,1.96148,0,-9,3
lid_3886,150.733002,1.921444,0,-9,3
lid_3887,150.742727,1.964706,0,-9,3
lid_3888,150.786148,1.960604,0,-9,3
lid_389,150.078005,2.757393,0,2,2
lid_3890,150.799541,2.030373,0,-9,3
lid_3891,150.817333,2.042803,0,-9,3
lid_3892,150.873039,1.970527,0,-9,3
lid_3893,150.879,1.9676,0,-9,3
lid_3896,150.631034,2.326935,0,-1,3
lid_3898,150.590412,2.456403,0,2,2
lid_390,150.435985,2.758908,0,-1,3
lid_3901,150.582075,2.439695,0,2,3
lid_3902,150.615358,2.376442,0,-9,3
lid_3903,150.684483,2.371906,0,2,3
lid_3908,150.741155,2.41914,0,-9,3
lid_391,150.442403,2.763864,0,2,2
lid_3918,150.843685,2.370408,0,-9,3
lid_392,150.446952,2.749568,0,2,3
lid_3921,149.6933,2.67405,0,-1,3
lid_3922,149.705022,2.686951,0,2,3
lid_3923,149.72879,2.599959,0,-9,3
cid_682,149.88537,2.177172,0,2,3
cid_683,150.04653,2.108247,0,2,3
cid_684,150.19872,2.019574,0,-99,3
cid_685,150.27823,1.990302,0,2,3
cid_686,150.297,1.982894,0,-9,3
cid_687,150.33271,1.931209,0,-9,3
cid_688,150.34505,1.958014,0,-9,3
cid_689,150.415377,1.934336,0,-99,1
cid_69,150.42219,2.175362,0,1,1
cid_690,150.447169,1.882887,0,2,3
cid_691,149.81217,2.28292,0,-9,1
cid_692,149.84487,2.30656,0,-9,3
cid_693,149.85148,2.276539,0,1,1
cid_694,149.76764,2.326155,0,-99,3
cid_695,149.96201,2.202104,0,-99,3
cid_696,149.96975,2.18339,0,1,1
cid_697,149.98449,2.235789,0,1,3
cid_698,150.00655,2.22651,0,1,3
cid_699,150.1043,2.179038,0,2,3
cid_70,150.40505,2.270085,0,1,1
cid_700,149.85151,2.426858,0,1,3
cid_701,149.90595,2.396475,0,2,3
cid_703,149.762124,2.46795,0,2,2
cid_704,149.778245,2.459103,0,2,3
cid_705,149.781968,2.471251,0,1,1
cid_706,150.01116,2.367901,0,-9,3
cid_707,150.03641,2.321074,0,-9,3
cid_708,150.05228,2.369345,0,-99,3
cid_709,150.47286,2.194047,0,1,1
cid_71,150.12363,2.358299,0,1,1
cid_710,150.537493,2.188084,0,2,3
cid_711,149.839727,2.537491,0,-99,1
cid_712,149.892832,2.601653,0,2,3
cid_713,149.769453,2.579563,0,2,3
cid_715,150.41176,2.317611,0,-9,3
cid_716,150.42017,2.309219,0,-9,1
cid_717,150.44452,2.369688,0,2,3
cid_718,150.458548,2.39735,0,1,1
cid_719,150.604721,2.273507,0,-9,3
cid_72,150.09154,2.399072,0,1,1
cid_3555,149.58136,1.992339,0,1,1
cid_421,149.664832,2.310309,0,2,3
cid_422,149.666781,2.286529,0,1,1
cid_423,149.674704,2.27559,0,-99,1
cid_424,149.678667,2.348975,0,1,1
cid_425,149.690728,2.264028,0,-99,-99
cid_426,149.691057,2.335657,0,2,3
cid_427,149.693287,2.267533,0,2,3
cid_428,149.695852,2.264633,0,2,2
cid_429,149.706401,2.278026,0,2,3
cid_43,150.18087,2.075997,0,1,1
cid_430,149.711721,2.365266,0,-99,3
cid_431,149.714267,2.355478,0,2,2
cid_432,149.71529,2.259273,0,2,3
cid_433,149.715229,2.299418,0,1,3
cid_434,149.720753,2.34909,0,-99,1
cid_435,149.730213,2.254728,0,-99,3
cid_436,149.730785,2.31318,0,-9,3
cid_437,149.73751,2.263629,0,2,3
cid_438,149.738737,2.366371,0,1,3
cid_439,149.748986,2.324245,0,-9,3
cid_44,150.18966,2.159718,0,-99,3
cid_440,149.761495,2.318571,0,1,1
cid_441,149.763465,2.334274,0,1,1
cid_442,149.777606,2.348589,0,-99,3
cid_443,150.0459,2.201258,0,1,1
cid_444,149.97796,2.285355,1,0,5
cid_445,150.02843,2.210001,0,1,1
cid_446,149.9124,2.200376,0,1,1
cid_447,149.93879,2.174923,0,-9,3
cid_448,149.961,2.218566,0,2,3
cid_449,149.96354,2.241513,0,1,1
cid_45,150.19426,2.106866,0,1,1
cid_450,149.99363,2.258576,0,2,2
cid_451,150.00257,2.258663,0,2,3
cid_452,150.00443,2.237201,0,1,1
cid_453,149.92875,2.298051,0,2,3
cid_454,149.868,2.330742,0,1,1
cid_455,149.87172,2.342876,0,1,1
lid_5549,149.765471,1.623287,0,-1,3
lid_3175,150.284479,2.853149,0,-1,3
lid_3176,150.296783,2.811503,0,-9,3
lid_3177,150.300204,2.873767,0,-9,3
lid_3178,150.347633,2.788681,0,-9,3
lid_3179,150.368718,2.745468,0,2,3
lid_318,150.423634,2.718436,0,-9,3
lid_3180,150.373547,2.803985,0,-9,3
lid_3181,150.379151,2.817332,0,-9,3
lid_3189,150.55033,2.628602,0,-1,3
lid_319,150.42605,2.725149,0,-9,3
lid_3191,150.602334,2.584734,0,-9,3
lid_3192,150.61637,2.549545,0,-2,1
lid_1666,150.82457,2.39869,0,-9,1
lid_1851,149.604679,2.586633,0,-9,1
lid_1852,149.610751,2.708178,0,-9,1
lid_1853,149.620767,2.613537,0,2,3
lid_1854,149.631306,2.533471,0,2,3
lid_1855,149.635061,2.598827,0,1,1
lid_1856,149.655499,2.600902,0,2,2
lid_1857,149.719344,2.62736,10,-9,5
lid_1858,149.456086,2.461204,0,-9,3
lid_1859,149.463212,2.485985,0,-9,3
lid_1860,149.482358,2.484332,0,-9,3
lid_1861,149.517176,2.487936,0,-9,3
lid_1862,149.52265,2.460876,0,-9,3
lid_1863,149.537534,2.46099,0,-1,3
lid_1864,149.539174,2.479174,0,-9,3
lid_1865,149.546234,2.436515,0,-9,3
lid_1866,149.550537,2.478775,0,-9,-99
lid_1867,149.565888,2.472014,0,-9,3
lid_1868,149.582914,2.484361,0,1,1
lid_1869,149.597257,2.441294,0,2,2
lid_1870,149.611257,2.471696,0,1,1
lid_1871,149.472799,2.687331,0,-1,3
lid_1872,149.505656,2.724392,0,2,2
lid_1873,149.441192,2.576438,0,-9,1
lid_1874,149.444129,2.54836,0,-9,1
lid_1875,149.470736,2.450464,0,-9,3
lid_1876,149.477296,2.582437,0,2,2
lid_1877,149.477663,2.560648,0,-9,3
lid_1878,149.477994,2.642503,0,1,1
lid_1879,149.478845,2.521719,0,2,2
lid_188,150.141945,2.707108,0,2,2
lid_1880,149.482247,2.700567,0,-9,3
lid_1881,149.489715,2.655613,0,2,2
lid_1882,149.495549,2.546995,0,-1,3
lid_1883,149.506324,2.642664,0,-9,3
lid_1884,149.517807,2.617145,0,-9,3
lid_1885,149.519214,2.64792,0,-1,3
lid_1886,149.524606,2.530996,0,-9,1
lid_189,150.146333,2.713378,0,2,3
lid_1897,150.288344,2.472806,0,-9,-99
lid_190,150.147077,2.717587,0,1,1
lid_1908,150.418166,2.486327,0,-9,1
lid_192,150.162936,2.680567,0,-1,3
lid_1926,150.32832,2.49411,0,-9,3
cid_456,149.88424,2.338139,0,2,3
cid_458,150.05517,2.143215,0,1,2
cid_459,150.06453,2.191,0,-9,1
cid_46,150.19581,2.119341,0,2,3
cid_460,150.06682,2.210518,0,2,3
cid_461,150.08498,2.153944,0,-9,-99
cid_462,150.09279,2.172109,1,0,5
cid_463,150.09582,2.145086,0,1,3
cid_464,150.10015,2.200002,0,2,1
cid_465,150.10041,2.174714,0,-9,2
cid_466,150.10091,2.16779,0,-99,1
cid_467,150.10198,2.105513,0,1,1
cid_468,150.10557,2.126309,0,1,1
cid_469,150.10895,2.131553,0,2,3
cid_47,150.1989,2.132551,0,1,1
cid_470,150.11303,2.165052,0,-9,1
cid_471,150.02256,2.140156,0,-9,3
cid_472,149.9692,2.304833,0,1,3
cid_473,149.9793,2.309095,0,1,3
cid_474,149.99386,2.301447,0,1,1
cid_475,150.00922,2.275603,0,1,1
cid_476,150.474739,2.093939,0,-99,2
cid_477,150.406477,2.075642,0,1,3
cid_478,150.418373,2.085111,0,2,1
cid_48,150.20186,2.126401,1,0,5
cid_480,150.419663,2.005876,0,2,3
cid_481,150.422595,2.014102,0,1,1
cid_482,150.424921,2.066167,0,2,3
cid_483,150.427216,2.083035,0,-9,3
cid_484,150.427294,2.054082,0,-9,3
cid_485,150.430489,1.988109,0,2,3
cid_486,150.44273,2.020363,0,-99,3
cid_487,150.443687,2.049095,0,1,1
cid_488,150.446131,2.043503,0,1,1
cid_489,150.448595,2.09281,0,2,3
cid_49,150.20632,2.120688,1,0,5
cid_490,150.457781,2.062388,0,1,1
cid_491,150.460448,1.976813,0,-99,3
cid_492,150.463075,2.008976,0,1,1
cid_493,150.473328,2.044354,0,-9,3
cid_1811,150.401811,2.445182,0,2,3
cid_1818,150.41417,2.364696,0,-9,1
cid_182,149.597866,2.071122,0,-9,3
cid_1827,150.435932,2.446834,0,-99,3
cid_183,149.605133,2.052157,0,1,1
cid_1831,150.455481,2.431071,0,-99,3
cid_1836,150.479131,2.404511,0,-99,3
cid_184,149.60731,2.017457,0,-9,3
cid_185,149.620378,2.039422,0,-9,1
cid_186,149.628114,2.040183,0,-99,1
cid_1868,150.256873,2.595091,0,-9,3
cid_187,149.639396,2.003159,0,2,3
cid_1870,150.265763,2.514294,0,-99,-99
cid_1871,150.267539,2.55204,0,2,3
cid_1873,150.27068,2.417152,0,2,3
cid_1874,150.271569,2.490749,0,2,1
cid_1877,150.283709,2.49453,0,2,3
cid_188,149.644831,2.052948,0,-9,3
cid_1881,150.317922,2.535071,0,-99,3
cid_189,149.651719,2.058422,0,2,1
cid_190,149.656361,2.076289,0,2,3
cid_191,149.656478,2.051122,0,1,1
cid_1913,149.97695,2.486527,0,1,1
cid_1917,149.99791,2.578149,0,-9,3
cid_192,149.66361,2.085172,0,1,1
cid_1925,150.025143,2.633567,0,-99,3
cid_193,149.674095,1.888399,0,1,1
cid_1930,150.042242,2.629243,0,1,1
cid_1932,150.049038,2.586646,0,-9,3
cid_194,149.674994,1.911985,0,-99,3
cid_195,149.68391,1.933119,0,2,3
cid_1956,149.855706,2.582273,0,2,3
cid_196,149.691679,1.818125,0,2,3
cid_1961,149.88407,2.61012,0,2,3
cid_197,149.703029,1.833328,0,-9,3
cid_1972,149.941115,2.663727,0,2,3
cid_1975,149.951057,2.694328,0,1,1
cid_1976,149.952278,2.651123,0,2,3
cid_1977,149.955166,2.657823,0,-99,3
cid_198,149.709556,1.8833,0,-9,3
cid_3285,150.26185,1.731683,0,-9,3
cid_261,150.02136,1.791369,0,2,3
cid_2611,150.479117,2.071612,0,2,3
cid_262,150.040897,1.763394,0,2,3
cid_263,150.043096,1.77921,0,-9,1
cid_2633,150.19721,1.985513,0,2,3
cid_264,150.044123,1.756643,0,2,3
cid_2646,150.25545,2.039934,0,-9,3
cid_265,150.046003,1.794739,0,-9,3
cid_2655,150.27244,2.084383,0,-9,2
cid_266,150.050507,1.744315,0,1,1
cid_267,150.078278,1.70891,0,-99,3
cid_268,150.087441,1.741934,1,0,5
cid_2682,150.03661,2.110565,0,2,3
cid_269,150.106108,1.749601,0,2,3
cid_2692,150.07792,2.043189,0,2,3
cid_2698,150.08837,2.05193,0,-9,3
cid_27,150.24407,2.25289,0,-99,3
cid_270,150.107483,1.759197,0,-9,1
cid_2704,150.11165,2.125069,0,2,3
cid_2706,150.11983,2.11738,0,2,3
cid_271,150.109677,1.724615,0,2,3
cid_272,150.19245,1.815479,0,-9,3
cid_2728,150.2385,2.056213,0,2,3
cid_273,150.19494,1.793752,0,1,1
cid_2738,149.95054,2.091693,0,2,3
cid_274,150.19971,1.826634,0,2,2
cid_2748,149.9749,2.139944,0,2,3
cid_275,150.2082,1.875397,0,1,1
cid_2756,150.00281,2.157699,0,-99,3
cid_2757,150.00283,2.133621,0,2,3
cid_276,150.22265,1.807277,0,2,3
cid_2761,150.01581,2.035451,0,-9,3
cid_2762,150.01867,2.165581,0,-9,3
cid_2763,150.02067,2.060188,0,2,3
cid_277,150.22768,1.786893,0,1,1
cid_2773,150.06861,2.153534,0,-9,3
cid_278,150.22968,1.79927,0,-9,3
cid_279,150.23159,1.875046,0,2,3
cid_2797,149.79923,2.169542,0,2,3
cid_28,150.25017,2.214593,0,2,3
lid_294,150.521094,2.625372,0,1,1
lid_448,150.648582,2.570002,0,-9,-99
lid_449,150.668882,2.516776,0,1,1
lid_450,150.598278,2.639193,0,-9,3
lid_4501,149.56908,1.973795,0,-9,3
lid_4505,149.387296,2.053095,0,-9,2
lid_4509,149.513062,1.956927,0,1,3
lid_451,150.705559,2.62958,0,1,1
lid_4511,149.528697,1.903832,0,-9,3
lid_452,150.725325,2.606408,0,-9,3
lid_4521,149.431892,1.634605,0,-9,3
lid_4523,149.483995,1.630829,0,-9,1
lid_4527,149.524399,1.86643,0,1,1
lid_453,150.732686,2.638459,0,-9,-99
lid_454,150.787464,2.622019,0,-9,3
lid_455,150.789199,2.643793,0,-1,3
lid_4550,149.848211,1.790104,0,-9,3
lid_4551,149.849693,1.74871,0,2,3
lid_456,150.790324,2.550831,0,-9,3
lid_4563,150.069288,1.779987,0,-9,1
lid_4567,150.158211,1.707884,0,-9,3
lid_457,150.81712,2.66731,0,-1,3
lid_4572,150.209857,1.686668,0,-9,3
lid_4575,150.18561,1.542089,0,-9,3
lid_458,150.818777,2.68509,0,-9,3
lid_4582,150.366261,1.607074,0,2,3
lid_459,150.851888,2.573571,0,-9,3
lid_460,150.620023,2.671321,0,1,1
lid_4601,150.034277,1.720897,0,-9,1
lid_4603,150.114775,1.716907,0,2,3
lid_4604,150.039578,1.779599,0,-9,3
lid_461,150.504487,2.724859,0,-9,1
lid_462,150.505365,2.674738,0,-2,-99
lid_4622,149.917562,1.901724,0,-9,3
lid_4627,149.982753,1.838212,0,-9,3
lid_463,150.50797,2.696729,0,1,3
lid_464,150.509187,2.699227,0,1,1
lid_465,150.517577,2.674996,0,-9,3
lid_4650,149.467203,1.756125,0,-9,-99
lid_4655,149.574154,1.710147,0,-9,3
lid_466,150.522221,2.678985,0,-9,3
lid_4660,149.595914,1.607155,0,-9,3
lid_4665,149.658618,1.718678,0,-9,3
lid_467,150.527573,2.708084,0,-9,3
lid_4674,149.728796,1.720174,0,-9,-99
lid_3171,150.51994,2.759631,0,-9,3
lid_5125,150.610257,2.714185,0,-9,3
lid_5128,150.41151,2.711156,0,-9,-99
lid_513,150.543101,2.931944,0,-9,3
lid_5134,150.247398,2.776772,0,-9,3
lid_5139,150.141452,2.938375,0,-9,3
lid_514,150.54624,2.747512,0,-9,3
lid_515,150.546514,2.811201,0,2,3
lid_516,150.581,2.847065,0,1,1
lid_5160,150.353713,2.862617,0,2,3
lid_5162,150.383043,2.88892,0,-1,3
lid_517,150.587879,2.867908,0,-9,3
lid_518,150.587856,2.900861,0,-9,1
lid_519,150.593474,2.801338,0,1,1
lid_520,150.571387,2.805321,0,-9,3
lid_521,150.577782,2.694146,0,-9,3
lid_522,150.595773,2.755777,0,-9,-99
lid_523,150.620024,2.625527,0,1,1
lid_524,149.944965,3.020128,0,-9,-99
lid_525,149.961319,2.883639,0,1,1
lid_526,149.970031,2.989561,0,-9,1
