|        id_x|         ra|        dec| pos_err|
|        char|     double|     double|  double|
|            |           |           |  arcsec|
|        null|       null|       null|    null|
     lid_1488  150.457726    1.951875    0.239 
     lid_1490  150.460887    1.922743    0.336 
     lid_1492  150.483252    1.915170    0.194 
     lid_1494  150.491296    1.910304    0.212 
     lid_1496  150.495554    1.888640    0.592 
     lid_1497  150.519290    1.926421    0.180 
     lid_1498  150.521084    1.880207    0.530 
     lid_1499  150.528057    1.986917    0.100 
      lid_150  150.387437    2.591616    0.373 
     lid_1500  150.534567    1.952497    0.100 
     lid_1501  150.574009    1.939737    0.926 
     lid_1502  150.574893    1.976670    0.233 
     lid_1509  150.514138    2.040206    0.279 
      lid_151  150.391186    2.563792    0.490 
     lid_1514  150.539702    2.060716    0.165 
     lid_1515  150.540233    2.063864    0.111 
     lid_1517  150.559048    2.105599    0.100 
     lid_1518  150.560725    2.011578    0.813 
     lid_1519  150.584912    2.081231    0.144 
      lid_152  150.402169    2.498355    0.268 
     lid_1520  150.585134    2.060606    0.163 
     lid_1521  150.584407    2.021619    0.605 
     lid_1522  150.588953    2.096889    0.387 
     lid_1523  150.595767    2.111052    0.186 
     lid_1524  150.612166    2.077743    0.522 
     lid_1525  150.628924    2.190879    0.422 
     lid_1535  150.586524    2.198572    0.160 
     lid_1536  150.591350    2.176370    0.169 
     lid_1537  150.603750    2.242029    0.247 
     lid_1538  150.621538    2.158866    0.100 
     lid_1539  150.630793    2.255716    0.394 
      lid_154  150.405467    2.582725    0.442 
     lid_1540  150.634808    2.165755    0.142 
     lid_1541  150.709462    2.147492    0.110 
     lid_1549  150.632334    2.409446    1.575 
      lid_155  150.425683    2.552059    0.325 
     lid_1550  150.640123    2.261662    0.188 
     lid_1551  150.645693    2.294196    0.329 
     lid_1552  150.660417    2.265504    0.453 
     lid_1553  150.672250    2.264216    0.562 
     lid_1554  150.449329    1.610649    0.395 
     lid_1555  150.476629    1.659628    0.229 
     lid_1556  150.478243    1.790321    0.202 
     lid_1557  150.492193    1.699019    0.363 
     lid_1558  150.497499    1.645337    0.282 
     lid_1559  150.499140    1.575604    0.672 
      lid_156  150.426089    2.609346    0.654 
     lid_1560  150.499409    1.526445    0.647 
     lid_1561  150.500356    1.614265    0.213 
     lid_1562  150.510377    1.680578    0.144 
     lid_1563  150.512842    1.533849    0.460 
     lid_1564  150.519539    1.560907    0.209 
     lid_1565  150.547104    1.618445    0.100 
     lid_1566  150.550546    1.708916    0.221 
     lid_3365  149.487412    2.754797    0.319 
     lid_3366  149.490111    2.869155    1.262 
     lid_3367  149.491878    2.783999    0.283 
     lid_3369  149.508781    2.840410    0.457 
      lid_337  150.265836    2.759519    0.427 
     lid_3370  149.596066    2.818871    0.852 
     lid_3951  149.578741    2.474260    0.731 
     lid_3952  149.582898    2.489419    0.407 
     lid_3953  149.596383    2.442421    0.368 
     lid_3954  149.599449    2.424082    0.583 
     lid_3955  149.538921    2.721441    0.441 
     lid_3956  149.466258    2.537765    0.843 
     lid_3958  149.475677    2.588322    0.312 
     lid_3959  149.498312    2.674984    0.851 
      lid_396  150.468280    2.823172    0.248 
     lid_3960  149.502300    2.606720    0.438 
     lid_3961  149.529212    2.554001    0.572 
     lid_3963  150.423522    2.460372    0.449 
      lid_397  150.474958    2.885731    0.316 
      lid_398  150.475079    2.823967    0.378 
      lid_399  150.475619    2.798223    0.274 
      lid_400  150.479043    2.785146    0.206 
      lid_401  150.479355    2.798134    0.248 
