name,catalog,cat_name,significance,var_flag
2CXO J113244.6+343551,VERONCAT,SDSS J11327+3435 ,7.49214457877287,0
2CXO J084428.8+511432,VERONCAT,SDSS J08444+5114 ,7.477706500464662,0
2CXO J215841.9-011500,VERONCAT,SDSS J21586-0115 ,7.475407561229539,0
2CXO J144300.6+520137,VERONCAT,RXS J14430+5201  ,7.4608850724828075,0
2CXO J145710.8+221844,VERONCAT,SDSS J14571+2218 ,7.458076408613036,0
2CXO J212950.0+001158,VERONCAT,SDSS J21298+0011 ,7.4535040932680925,0
2CXO J095817.5+021938,VERONCAT,SDSS J09582+0219 ,7.44844161624645,0
2CXO J121432.7+142214,VERONCAT,SDSS J12145+1422 ,7.444288183943362,0
2CXO J043654.8+294018,VERONCAT,CXO J04369+2940  ,7.437312504381689,1
2CXO J121843.3+153617,VERONCAT,SDSS J12187+1536 ,7.4251756600736885,0
2CXO J145143.7+430600,VERONCAT,CXO J14517+4306  ,7.415018533901157,0
2CXO J001438.3-010751,VERONCAT,FIRST J00146-0107,7.413574182212537,0
2CXO J175113.5-201214,VERONCAT,IGR J17513-2011  ,7.406428883195555,1
2CXO J095754.7+023832,VERONCAT,SDSS J09579+0238 ,7.406309831162841,1
2CXO J033137.8-273724,VERONCAT,ECDF-S 203       ,7.3978599521497905,0
2CXO J124139.0+074348,VERONCAT,SDSS J12416+0743 ,7.391382587286158,0
2CXO J083712.9+145917,VERONCAT,HS 0834+1509     ,7.378862372647308,0
2CXO J104919.4+585850,VERONCAT,SDSS J10493+5858 ,7.377817411591556,0
2CXO J091748.4+592656,VERONCAT,SDSS J09178+5926 ,7.375771977635366,0
2CXO J145837.8+022524,VERONCAT,SDSS J14586+0225 ,7.374237367274867,0
2CXO J080342.0+302254,VERONCAT,HS 0800+3031     ,7.361370439904156,0
2CXO J123300.8+471927,VERONCAT,SDSS J12330+4719 ,7.358332592170888,0
2CXO J134414.0-002950,VERONCAT,2QZ J134414-0029 ,7.353167390531888,0
2CXO J135646.0+102608,VERONCAT,IRAS 13543+1040  ,7.352599762818763,0
2CXO J111504.4+550143,VERONCAT,SDSS J11150+5501 ,7.347738452356948,0
2CXO J043657.5+294155,VERONCAT,CXOPS J04369+2941,7.329840055602357,1
2CXO J103357.8+574942,VERONCAT,CLASXS 294       ,7.322244866479808,0
2CXO J004341.2+005253,VERONCAT,SDSS J00436+0052 ,7.3187659906361775,0
2CXO J130133.7+365626,VERONCAT,SDSS J13015+3656 ,7.3149807773184286,0
2CXO J100149.6+023853,VERONCAT,COSM J10018+0238 ,7.311677697818474,1
2CXO J074248.6+742746,VERONCAT,XMS J07428+7427  ,7.294312225580658,0
2CXO J122654.4-005430,VERONCAT,SDSS J12269-0054 ,7.293512711697183,0
2CXO J092712.6+294344,VERONCAT,SDSS J09272+2943A,7.286521816499772,0
2CXO J075939.4+140543,VERONCAT,SDSS J07596+1405 ,7.285366685555887,0
2CXO J100651.8+343744,VERONCAT,SDSS J10068+3437 ,7.283418782158214,0
2CXO J044213.2+020438,VERONCAT,CXO J04422+0204  ,7.283281783444475,0
2CXO J100238.7+013936,VERONCAT,COSM J10026+0139 ,7.280282815047784,1
2CXO J095812.5+023526,VERONCAT,COSM J09582+0235 ,7.278586640773631,1
2CXO J144935.9+631835,VERONCAT,SDSS J14495+6318 ,7.267739232954544,0
2CXO J113645.8+070647,VERONCAT,SDSS J11367+0706 ,7.260146792652254,0
2CXO J114052.8-262911,VERONCAT,X  9             ,7.2596801798271615,0
2CXO J115938.4+292056,VERONCAT,CXO J11596+2920  ,7.253303049129759,0
2CXO J033303.3-275922,VERONCAT,ECDF-S 438       ,7.250152708519338,1
2CXO J074207.6+251726,VERONCAT,SDSS J07421+2517 ,7.245644122423153,0
2CXO J133031.4-002817,VERONCAT,2QZ J133031-0028 ,7.235604967733315,0
2CXO J130729.5+462719,VERONCAT,SDSS J13074+4627 ,7.234002141133376,1
2CXO J102134.2+215436,VERONCAT,SDSS J10215+2154 ,7.227004159794173,0
2CXO J100012.4+014057,VERONCAT,COSM J10002+0140 ,7.226749311489235,1
2CXO J033251.5-275842,VERONCAT,ECDF-S 457       ,7.224002307010657,0
2CXO J100037.9+020822,VERONCAT,SDSS J10006+0208 ,7.2217148384258305,0
2CXO J023524.0-070952,VERONCAT,SDSS J02354-0709 ,7.216398203878491,0
2CXO J155604.9+243235,VERONCAT,SDSS J15560+2432 ,7.215223251871469,1
2CXO J103429.6+575217,VERONCAT,CLASXS 372       ,7.209267483816593,0
2CXO J124035.8-002919,VERONCAT,SDSS J12405-0029 ,7.208495728364023,0
2CXO J123600.3+621925,VERONCAT,B01.049          ,7.204832997479062,0
2CXO J024604.6-082100,VERONCAT,SDSS J02460-0821 ,7.203941541099844,0
2CXO J153133.9-083608,VERONCAT,XMS J15315-0836  ,7.201958674608608,1
2CXO J034313.7+010336,VERONCAT,SDSS J03432+0103 ,7.201284046131279,0
2CXO J013120.9+004138,VERONCAT,SDSS J01313+0041 ,7.198073335083445,0
2CXO J081351.6+402053,VERONCAT,SDSS J08138+4020 ,7.1903322747130725,0
2CXO J100258.2+015908,VERONCAT,COSM J10029+0159 ,7.183805268310213,1
2CXO J155855.9+395651,VERONCAT,SDSS J15589+3956 ,7.180803887534901,0
2CXO J003344.9-434352,VERONCAT,XMM J00337-4343  ,7.1787792411943565,0
2CXO J003547.3-430558,VERONCAT,XMM J00357-4305  ,7.1763655010314205,0
2CXO J100218.3+021053,VERONCAT,COSM J10023+0210 ,7.1705788600288365,0
2CXO J032444.2-291821,VERONCAT,BR J0324-2918    ,7.16490948093017,0
2CXO J004526.2+143643,VERONCAT,SDSS J00454+1436 ,7.1563877459082175,0
2CXO J214020.2-233452,VERONCAT,CXOMP J21403-2334,7.15375174991326,1
2CXO J003504.4-431610,VERONCAT,XMM J00350-4316  ,7.152368172176364,0
2CXO J105641.3-033853,VERONCAT,CXOMP J10566-0338,7.150872986928296,0
2CXO J001317.4-000635,VERONCAT,SDSS J00132-0006 ,7.149591211037923,0
2CXO J100021.9+022356,VERONCAT,COSM J10003+0223 ,7.148138089551853,0
2CXO J121016.6+391816,VERONCAT,RXS J12102+3918  ,7.143498058321606,0
2CXO J123639.5+621230,VERONCAT,CXOH J12366+6212 ,7.127443983453269,0
2CXO J143559.1+334640,VERONCAT,SDSS J14359+3346 ,7.126314156486392,0
2CXO J123723.1+621538,VERONCAT,BM 1384          ,7.1245182689198385,1
2CXO J100231.9+023507,VERONCAT,COSM J10025+0235 ,7.124313632357107,0
2CXO J005805.7-275004,VERONCAT,Q 0055-2806      ,7.112779798843312,0
